Current Attendence Sheet Data of BCU11513  |  All Type


-,2019-02-28-16:00:00-Lect-2H-ng,2019-03-07-16:00:00-Lect-2H-ng,2019-03-13-09:00:00-Lect-1H-ng,2019-03-14-16:00:00-Lect-2H-ng,2019-03-21-16:00:00-Assi-1H-1-A,2019-03-21-17:00:00-Lect-1H-ng,2019-03-27-16:00:00-Lect-2H-ng,2019-03-28-16:00:00-Lect-1H-ng,2019-03-28-17:00:00-Lect-1H-ng,2019-04-03-09:00:00-Lect-1H-ng,2019-04-04-16:00:00-Lect-1H-ng,2019-04-04-17:00:00-Lect-1H-ng,2019-04-10-09:00:00-Lect-1H-ng,2019-04-11-16:00:00-Lect-1H-ng,2019-04-11-17:00:00-Lect-1H-ng,2019-05-22-09:00:00-Lect-1H-ng,2019-05-23-16:00:00-Lect-2H-ng,2019-05-29-09:00:00-Lect-1H-ng,2019-05-30-16:00:00-Lect-2H-ng,2019-06-06-16:00:00-Lect-2H-ng,2019-06-12-09:00:00-Lect-1H-ng,2019-06-13-16:00:00-Assi-1H-1-B,2019-06-13-17:00:00-Lect-1H-ng,2019-06-19-08:00:00-Lect-1H-ng,2019-06-20-16:00:00-Lect-2H-ng,2019-06-26-09:00:00-Lect-1H-ng,2019-06-27-09:00:00-Lect-2H-ng,2019-06-27-16:00:00-Lect-2H-ng,%
HS/2018/16620,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,70 %,
HS/2018/16629,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,73 %,
HS/2018/16644,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,54 %,
HS/2018/16645,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,73 %,
HS/2018/16649,1,1,0,1, ,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,59 %,
HS/2018/16686,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,59 %,
HS/2018/16688,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,38 %,
HS/2018/16733,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,68 %,
HS/2018/16785,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2018/16791,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,73 %,
HS/2018/16822,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,59 %,
HS/2018/16835,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,49 %,
HS/2018/16847,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,51 %,
HS/2018/16858,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,57 %,
HS/2018/16859,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,54 %,
HS/2018/16871,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,65 %,
HS/2018/16893,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,62 %,
HS/2018/16905,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,68 %,
HS/2018/16910,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,54 %,
HS/2018/16911,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,57 %,
HS/2018/16918,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,51 %,
HS/2018/16923,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,57 %,
HS/2018/16927,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,65 %,
HS/2018/16942,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,54 %,
HS/2018/16944,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,57 %,
HS/2018/16953,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,57 %,
HS/2018/16955,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,54 %,
HS/2018/16956,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,70 %,
HS/2018/16958,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,59 %,
HS/2018/16960,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,51 %,
HS/2018/16978,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,49 %,
HS/2018/16986,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,70 %,
HS/2018/16988,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,65 %,
HS/2018/16997,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,73 %,
HS/2018/17021,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,68 %,
HS/2018/17041,1,1,1,1, ,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,54 %,
HS/2018/17043,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,51 %,
HS/2018/17044,1,1,1,0, ,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,41 %,
HS/2018/17053,1,1,1,0, ,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,49 %,
HS/2018/17056,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,46 %,
HS/2018/17079,1,1,1,0, ,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,46 %,
HS/2018/17091,0,0,1,1, ,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,57 %,
HS/2018/17109,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,14 %,
HS/2018/17111,0,0,0,0, ,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,38 %,
HS/2018/17112,0,0,0,0, ,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1, ,0,1,1,0,0,0,24 %,
Total,32,37,36,29,36,32,11,38,37,24,0,0,0,0,0,35,26,40,33,17,16,44,44,31,32,41,0,27,
