Current Attendence Sheet Data of BCU12513  |  All Type


-,2019-08-01-08:00:00-Lect-2H-ng,2019-08-02-13:00:00-Lect-1H-ng,2019-08-08-08:00:00-Lect-2H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-08-15-08:00:00-Lect-1H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-22-09:00:00-Lect-2H-ng,2019-08-22-09:00:00-Lect-1H-ng,2019-08-23-13:00:00-Lect-1H-ng,2019-12-12-08:00:00-Lect-2H-ng,2019-12-13-13:00:00-Lect-1H-ng,2019-12-19-08:00:00-Lect-2H-ng,2019-12-20-12:00:00-Lect-1H-ng,2020-01-02-08:00:00-Lect-2H-ng,2020-01-03-13:00:00-Lect-1H-ng,2020-01-09-08:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-16-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-17-13:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-2H-ng,2020-01-24-13:00:00-Lect-1H-ng,2020-01-30-08:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-1H-ng,2020-02-07-13:00:00-Lect-1H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-14-13:00:00-Lect-1H-ng,2020-02-20-08:00:00-Lect-1H-ng,2020-02-20-09:00:00-Lect-1H-ng,2020-02-20-12:00:00-Lect-1H-ng,%
HS/2017/16154,E,E,E,E,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,80 %,
HS/2018/16620,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/16629,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,88 %,
HS/2018/16644,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,80 %,
HS/2018/16645,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2018/16649,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2018/16686,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2018/16688,1,1,E,0,1,1,1,E,E,1,E,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2018/16733,1,1,1,1,1,0,1,1,0,1,1,E,1,1,1,1,1,E,E,1,E,1,1,E,E,E,1,E,1,E,1,1,0,93 %,
HS/2018/16785,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,E,1,1,1,0,1,0,0,E,E,E,E,83 %,
HS/2018/16791,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2018/16822,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2018/16835,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,M,M,M,M,M,M,80 %,
