Current Attendence Sheet Data of BCU22513  |  All Type


-,2019-08-01-10:00:00-Lect-1H-ng,2019-08-01-15:00:00-Lect-1H-ng,2019-08-06-17:00:00-Lect-1H-ng,2019-08-08-10:00:00-Lect-1H-ng,2019-08-08-15:00:00-Lect-1H-ng,2019-08-13-17:00:00-Lect-1H-ng,2019-08-15-10:00:00-Lect-1H-ng,2019-08-15-15:00:00-Lect-1H-ng,2019-08-20-17:00:00-Lect-1H-ng,2019-08-22-10:00:00-Assi-1H-ng,2019-08-22-15:00:00-Lect-1H-ng,2019-12-10-17:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-1H-ng,2019-12-12-15:00:00-Lect-1H-ng,2019-12-17-17:00:00-Lect-1H-ng,2019-12-19-10:00:00-Lect-1H-ng,2019-12-19-10:00:00-Lect-1H-ng,2019-12-19-15:00:00-Lect-1H-ng,2019-12-24-17:00:00-Lect-1H-ng,2019-12-31-17:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-1H-ng,2020-01-02-15:00:00-Lect-2H-ng,2020-01-09-10:00:00-Lect-1H-ng,2020-01-09-15:00:00-Lect-2H-ng,2020-01-16-10:00:00-Lect-1H-ng,2020-01-16-15:00:00-Lect-2H-ng,2020-01-23-10:00:00-Lect-1H-ng,2020-01-23-10:00:00-Lect-1H-ng,2020-01-23-15:00:00-Lect-2H-ng,2020-01-30-10:00:00-Lect-1H-ng,2020-01-30-15:00:00-Lect-2H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-06-15:00:00-Lect-2H-ng,2020-02-13-10:00:00-Lect-1H-ng,2020-02-13-15:00:00-Lect-2H-ng,2020-02-14-10:00:00-Lect-2H-ng,2020-02-17-08:00:00-Lect-2H-ng,2020-02-20-10:00:00-Lect-1H-ng,2020-02-20-15:00:00-Lect-2H-ng,%
HS/2017/16151,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16164,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16182,E,E,E,E,1,E,E,E,E,1,E,E,E,E,1,E,E,E,1,E,E,E,1,E,E,E,1,1,0,1,0,1,0,1,1,1,1,1,1,88 %,
HS/2017/16194,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20 %,
HS/2017/16220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16225,E,E,E,E,E,1,1,1,E,1,E,E,E,E,E,1,1,E,E,E,0,0,1,E,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,82 %,
HS/2017/16232,E,E,E,E,E,E,E,E,E,E,E,E,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2017/16347,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16454,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,M,M,1,1,1,1,1,1,84 %,
HS/2017/16498,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16522,1,1,0,1,1,M,M,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,82 %,
HS/2017/16527,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16537,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,M,1,1,1,1,1,1,1,M,M,1,1,1,1,1,1,86 %,
HS/2017/16592,0,0,0,1,1,0,0,0,1,1,1,0,0,1,M,M,M,M,M,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16598,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,E,1,E,E,E,E,E,1,1,1,E,E,1,1,1,1,1,1,80 %,
HS/2017/16599,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,E,1,1,1,E,E,E,E,1,1,1,E,0,1,1,1,1,1,1,84 %,
HS/2017/16600,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,E,E,E,E,1,1,1,E,E,1,1,1,1,1,1,80 %,
Total,9,11,13,12,17,9,12,13,10,15,12,11,12,11,14,16,16,16,12,10,14,14,14,14,16,16,16,16,14,16,15,14,14,16,16,16,16,16,16,
