Current Attendence Sheet Data of BCU22623  |  All Type


-,2019-07-31-15:00:00-Lect-1H-ng,2019-08-06-08:00:00-Lect-2H-ng,2019-08-07-15:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-2H-ng,2019-08-20-08:00:00-Lect-2H-ng,2019-08-21-15:00:00-Lect-1H-ng,2019-12-10-08:00:00-Lect-2H-ng,2019-12-17-08:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-1H-ng,2019-12-24-08:00:00-Lect-2H-ng,2019-12-24-15:00:00-Lect-1H-ng,2019-12-31-08:00:00-Lect-2H-ng,2020-01-01-15:00:00-Lect-1H-ng,2020-01-07-08:00:00-Lect-2H-ng,2020-01-08-15:00:00-Lect-1H-ng,2020-01-14-08:00:00-Lect-2H-ng,2020-01-21-08:00:00-Lect-2H-ng,2020-01-22-15:00:00-Lect-1H-ng,2020-01-28-08:00:00-Lect-2H-ng,2020-01-29-15:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-1H-ng,2020-02-11-08:00:00-Lect-2H-ng,2020-02-12-15:00:00-Lect-1H-ng,2020-02-18-08:00:00-Lect-2H-ng,%
HS/2017/16223,M,M,M,M,1,M,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16231,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16246,E,E,E,1,E,E,E,1,1,E,E,1,0,1,0,1,1,0,E,0,0,1,1,0,81 %,
HS/2017/16248,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16251,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16293,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16329,0,1,1,E,E,1,E,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16382,0,E,1,1,E,0,1,1,1,1,0,E,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2017/16428,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16451,0,0,1,0,0,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2017/16518,0,1,1,E,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,83 %,
HS/2017/16548,0,E,0,1,E,0,1,1,1,1,0,E,1,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16580,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16583,0,1,1,E,E,0,1,1,1,1,0,E,0,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2017/16585,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,86 %,
HS/2017/16612,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,E,1,E,E,E,E,1,83 %,
HS/2017/16613,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,E,1,E,E,E,E,E,81 %,
Total,3,14,16,12,15,14,15,17,17,16,7,14,13,17,16,16,17,15,17,15,12,17,17,13,
