Current Attendence Sheet Data of BCU22643  |  All Type


-,2019-08-02-09:00:00-Lect-2H-ng,2019-08-06-11:00:00-Lect-1H-ng,2019-08-09-09:00:00-Lect-2H-ng,2019-08-16-10:00:00-Lect-1H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-21-12:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-2H-ng,2019-12-13-13:00:00-Lect-1H-ng,2019-12-17-08:00:00-Lect-3H-ng,2019-12-20-08:00:00-Lect-3H-ng,2020-01-03-08:00:00-Lect-3H-ng,2020-01-17-08:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-17-10:00:00-Lect-1H-ng,2020-01-24-08:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-31-08:00:00-Lect-1H-ng,2020-01-31-09:00:00-Lect-2H-ng,2020-02-07-08:00:00-Lect-1H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-14-08:00:00-Lect-2H-ng,%
HS/2017/16148,E,0,1,1,1,1,M,M,M,1,0,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2017/16224,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,E,88 %,
HS/2017/16298,E,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,E,94 %,
HS/2017/16309,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,E,82 %,
HS/2017/16326,1,E,1,1,1,1,1,1,1,E,1,1,1,1,0,E,0,0,1,1,0,82 %,
HS/2017/16349,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 %,
HS/2017/16365,1,E,1,0,0,1,1,1,1,E,1,1,1,1,E,E,E,E,1,1,E,94 %,
HS/2017/16385,E,E,E,1,1,1,1,0,1,E,1,1,1,1,0,0,1,1,1,1,E,88 %,
HS/2017/16414,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,E,82 %,
HS/2017/16518,E,E,E,E,E,1,E,E,1,1,1,E,0,0,1,1,1,1,1,1,E,94 %,
HS/2017/16539,M,M,1,M,M,1,0,0,1,E,1,1,1,1,1,1,1,1,1,1,E,91 %,
HS/2017/16565,0,0,1,1,1,1,1,0,1,1,1,1,1,1,E,0,1,1,1,1,E,82 %,
HS/2017/16566,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,E,88 %,
HS/2017/16585,1,1,1,E,E,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,E,82 %,
HS/2017/16597,0,0,1,0,0,1,1,1,1,E,1,1,1,1,E,E,E,E,E,E,E,85 %,
HS/2017/16602,0,E,E,1,1,1,1,1,1,0,1,1,1,1,E,E,E,E,E,E,E,85 %,
Total,8,7,15,13,13,16,13,6,15,14,14,15,14,14,12,10,14,14,15,15,13,
