Current Attendence Sheet Data of BCU32513  |  All Type


-,2019-08-02-14:00:00-Lect-2H-ng,2019-08-05-14:00:00-Lect-1H-ng,2019-08-09-14:00:00-Lect-2H-ng,2019-08-16-14:00:00-Lect-2H-ng,2019-08-19-14:00:00-Lect-1H-ng,2019-12-09-14:00:00-Lect-1H-ng,2019-12-13-14:00:00-Lect-2H-ng,2019-12-16-14:00:00-Lect-1H-ng,2019-12-20-14:00:00-Lect-2H-ng,2019-12-23-14:00:00-Lect-1H-ng,2019-12-30-14:00:00-Lect-1H-ng,2020-01-03-14:00:00-Lect-2H-ng,2020-01-06-14:00:00-Lect-1H-ng,2020-01-13-14:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-17-14:00:00-Lect-2H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-27-14:00:00-Lect-1H-ng,2020-01-29-12:00:00-Lect-1H-ng,2020-01-31-14:00:00-Lect-2H-ng,2020-02-03-14:00:00-Lect-1H-ng,2020-02-07-14:00:00-Lect-2H-ng,2020-02-10-14:00:00-Lect-1H-ng,2020-02-14-14:00:00-Lect-2H-ng,2020-02-17-12:00:00-Lect-1H-ng,2020-02-18-12:00:00-Lect-1H-ng,2020-02-18-17:00:00-Lect-1H-ng,%
HS/2015/15348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,97 %,
HS/2016/15700,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,86 %,
HS/2016/15714,M,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15732,0,1,0,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15759,0,1,1,1,1,M,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15771,0,1,1,1,1,0,1,0,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15800,E,E,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15802,1,1,1,1,1,1,0,1,0,1,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15808,0,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15847,E,1,E,E,E,0,1,E,E,E,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2016/15853,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15860,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15892,M,1,M,M,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/15906,0,E,E,E,E,E,E,0,E,E,0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,89 %,
HS/2016/15911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15926,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2016/15992,M,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2016/16009,M,M,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16018,M,M,M,M,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,84 %,
HS/2016/16022,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16028,1,1,1,E,1,1,E,1,1,E,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,0,97 %,
HS/2016/16039,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14 %,
HS/2016/16043,E,1,1,E,E,0,1,0,1,0,0,E,1,E,E,1,1,E,E,1,E,1,1,1,0,0,0,81 %,
HS/2016/16069,E,E,E,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,97 %,
HS/2016/16095,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,92 %,
HS/2016/16102,0,0,0,M,M,M,M,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,84 %,
HS/2016/16116,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,0,0,95 %,
HS/2016/16128,0,0,1,1,1,E,1,E,1,E,E,1,1,E,E,1,1,E,E,1,E,E,E,0,1,1,0,84 %,
HS/2016/16137,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,E,1,1,1,89 %,
HS/2016/16138,0,0,1,0,0,E,E,1,E,E,E,E,E,1,E,1,1,E,E,1,E,E,E,E,1,E,E,84 %,
Total,16,26,23,25,25,19,21,23,25,26,25,28,28,27,23,28,29,27,26,28,27,28,28,26,25,26,14,
