Current Attendence Sheet Data of BCU32643  |  All Type


-,2019-07-31-13:00:00-Lect-1H-ng,2019-08-01-14:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-3H-ng,2019-08-08-16:00:00-Lect-1H-ng,2019-08-15-15:00:00-Lect-2H-ng,2019-08-22-09:00:00-Lect-2H-ng,2019-08-22-16:00:00-Lect-2H-ng,2019-12-12-16:00:00-Lect-1H-ng,2019-12-13-11:00:00-Lect-1H-ng,2019-12-18-16:00:00-Lect-1H-ng,2019-12-19-16:00:00-Lect-1H-ng,2019-12-20-11:00:00-Lect-1H-ng,2020-01-01-16:00:00-Lect-1H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-08-16:00:00-Lect-2H-ng,2020-01-16-16:00:00-Lect-2H-ng,2020-01-20-12:00:00-Lect-1H-ng,2020-01-22-16:00:00-Lect-2H-ng,2020-01-29-16:00:00-Lect-2H-ng,2020-01-30-15:00:00-Lect-2H-ng,2020-01-31-11:00:00-Lect-1H-ng,2020-02-05-16:00:00-Lect-2H-ng,2020-02-06-16:00:00-Lect-2H-ng,2020-02-07-11:00:00-Lect-1H-ng,2020-02-12-16:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-18-08:00:00-Lect-2H-ng,2020-02-19-16:00:00-Lect-2H-ng,%
HS/2016/15708,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,E,E,1,E,1,1,89 %,
HS/2016/15716,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15733,E,E,E,E,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,94 %,
HS/2016/15735,M,M,M,M,1,1,1,0,M,1,1,M,0,M,M,0,0,1,1,1,1,1,0,1,1,1,1,1,1,83 %,
HS/2016/15743,M,M,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,E,E,1,E,1,1,94 %,
HS/2016/15760,M,M,1,1,M,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15764,0,E,E,0,1,1,E,0,0,1,1,0,1,1,1,1,E,0,1,1,1,0,E,1,1,1,1,1,1,85 %,
HS/2016/15803,M,M,M,1,1,1,1,1,1,1,1,M,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15810,E,E,E,E,E,1,E,E,E,E,E,E,E,E,1,E,E,1,1,1,1,1,1,E,E,E,E,0,0,91 %,
HS/2016/15811,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15812,0,E,1,0,E,1,E,0,0,1,E,0,0,E,E,1,1,1,1,1,1,1,E,1,0,1,1,1,0,81 %,
HS/2016/15815,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2016/15832,M,M,1,1,0,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15852,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15858,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15875,0,0,1,0,0,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15876,M,M,M,M,M,1,M,M,M,M,M,M,M,1,M,M,M,M,M,M,1,M,1,0,M,0,1,0,0,83 %,
