Current Attendence Sheet Data of BPH11513  |  All Type


-,2019-03-05-16:00:00-Lect-1H-ng,2019-03-12-16:00:00-Lect-1H-ng,2019-03-14-16:00:00-Lect-2H-ng,2019-03-18-16:00:00-Lect-2H-ng,2019-03-19-16:00:00-Lect-1H-ng,2019-03-26-16:00:00-Lect-1H-ng,2019-04-01-16:00:00-Lect-2H-ng,2019-04-02-16:00:00-Lect-1H-ng,2019-04-08-16:00:00-Lect-2H-ng,2019-04-09-16:00:00-Lect-1H-ng,2019-05-21-16:00:00-Lect-1H-ng,2019-05-27-16:00:00-Lect-2H-ng,2019-05-28-16:00:00-Lect-1H-ng,2019-06-03-16:00:00-Lect-2H-ng,2019-06-04-16:00:00-Lect-1H-ng,%
HS/2018/16701,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,29 %,
HS/2018/16763,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,52 %,
HS/2018/17086,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,48 %,
HS/2018/17093,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,48 %,
HS/2018/17100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/17103,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,48 %,
HS/2018/17105,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,48 %,
HS/2018/17106,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,48 %,
HS/2018/17107,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,38 %,
HS/2018/17109,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,24 %,
HS/2018/17110,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,29 %,
HS/2018/17112,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,19 %,
HS/2018/17113,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,38 %,
HS/2018/17114,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,38 %,
HS/2018/17118,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19 %,
Total,2,1,0,2,2,7,7,7,10,2,11,14,12,0,0,
