Current Attendence Sheet Data of BPH12513  |  All Type


-,2019-08-02-11:00:00-Lect-1H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-09-11:00:00-Lect-1H-ng,2019-08-16-15:00:00-Lect-2H-ng,2019-08-19-17:00:00-Lect-1H-ng,2019-08-23-09:00:00-Lect-2H-ng,2019-08-23-16:00:00-Lect-1H-ng,2019-12-09-17:00:00-Lect-1H-ng,2019-12-13-15:00:00-Lect-2H-ng,2019-12-16-17:00:00-Lect-1H-ng,2019-12-20-15:00:00-Lect-2H-ng,2019-12-23-17:00:00-Lect-1H-ng,2019-12-27-09:00:00-Lect-2H-ng,2019-12-30-17:00:00-Lect-1H-ng,2020-01-03-15:00:00-Lect-2H-ng,2020-01-06-17:00:00-Lect-1H-ng,2020-01-13-12:00:00-Lect-2H-ng,2020-01-13-17:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-20-17:00:00-Lect-1H-ng,2020-01-23-12:00:00-Lect-1H-ng,2020-01-24-12:00:00-Lect-1H-ng,2020-01-27-17:00:00-Lect-1H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-01-31-12:00:00-Lect-1H-ng,2020-02-06-12:00:00-Lect-1H-ng,2020-02-07-12:00:00-Lect-1H-ng,2020-02-10-17:00:00-Lect-1H-ng,2020-02-11-09:00:00-Lect-2H-ng,2020-02-17-17:00:00-Lect-1H-ng,2020-02-20-12:00:00-Lect-1H-ng,%
HS/2018/16701,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,M,0,M,1,85 %,
HS/2018/16763,1,1,1,1,1,1,1,1,0,E,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,E,0,1,83 %,
HS/2018/17086,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,93 %,
HS/2018/17093,1,1,1,1,1,0,1,1,0,0,0,1,0,E,E,E,E,1,1,1,1,1,E,1,1,E,0,1,1,1,0,1,80 %,
HS/2018/17100,E,1,1,1,1,1,1,1,E,E,E,E,1,E,E,E,E,1,1,1,1,1,E,1,1,1,1,E,1,1,0,1,98 %,
HS/2018/17103,1,1,1,1,1,E,1,1,0,1,E,1,0,E,E,E,E,1,1,1,1,1,E,E,E,1,E,1,E,1,E,0,93 %,
HS/2018/17105,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,88 %,
HS/2018/17106,0,1,1,1,E,1,1,1,E,1,E,1,E,0,E,E,E,1,1,1,1,1,E,1,1,1,1,1,1,1,E,1,93 %,
HS/2018/17107,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,80 %,
HS/2018/17109,M,1,1,1,1,1,1,1,M,M,1,1,M,M,M,M,1,1,1,1,1,M,1,1,M,M,0,0,1,0,1,0,88 %,
HS/2018/17110,M,1,1,M,M,M,1,1,M,1,M,1,1,M,1,M,1,1,M,M,1,1,1,1,1,1,M,1,1,0,0,1,93 %,
HS/2018/17112,1,1,1,1,1,E,E,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,80 %,
HS/2018/17113,1,1,1,0,1,1,1,1,E,E,0,1,0,E,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,80 %,
HS/2018/17114,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,85 %,
HS/2018/17118,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,80 %,
Total,12,15,15,10,15,14,15,15,10,13,8,15,11,14,12,15,11,15,13,15,15,13,11,12,15,14,12,11,14,10,5,11,
