Current Attendence Sheet Data of BPH32513  |  All Type


-,2019-08-01-09:00:00-Lect-2H-ng,2019-08-06-16:00:00-Lect-1H-ng,2019-08-08-09:00:00-Lect-2H-ng,2019-08-13-16:00:00-Lect-1H-ng,2019-08-15-09:00:00-Lect-2H-ng,2019-08-20-16:00:00-Lect-1H-ng,2019-08-22-09:00:00-Lect-2H-ng,2019-12-10-10:00:00-Lect-1H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-17-10:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-24-10:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-1H-ng,2019-12-31-10:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-2H-ng,2020-01-07-10:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-1H-ng,2020-01-16-10:00:00-Lect-2H-ng,2020-01-21-10:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-06-09:00:00-Lect-1H-ng,2020-02-11-11:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-18-10:00:00-Lect-1H-ng,%
HS/2016/15789,M,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,E,1,82 %,
HS/2016/15828,E,E,E,E,E,1,1,E,E,E,E,1,1,1,E,E,E,E,E,1,E,0,0,0,0,E,0,85 %,
HS/2016/16029,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,E,1,82 %,
HS/2016/16031,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,18 %,
HS/2016/16035,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13 %,
HS/2016/16039,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13 %,
HS/2016/16041,0,1,1,0,1,0,0,M,M,M,1,1,1,1,M,1,1,1,M,1,1,M,M,1,0,E,1,82 %,
HS/2016/16049,0,0,0,M,1,1,M,M,M,M,M,M,M,1,M,1,1,1,M,1,1,M,M,1,0,E,0,82 %,
HS/2016/16109,M,M,1,M,M,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,95 %,
HS/2016/16117,0,1,1,0,1,0,0,0,E,E,E,E,E,1,E,E,1,1,E,1,E,E,1,E,E,E,E,82 %,
HS/2016/16122,E,E,1,E,1,0,E,E,E,E,E,E,E,E,E,0,E,E,E,1,0,E,1,E,E,E,0,87 %,
HS/2016/16125,1,1,E,1,1,E,E,0,E,0,1,E,E,E,E,1,E,1,E,1,0,E,1,E,E,E,E,90 %,
HS/2016/16136,E,1,1,0,E,0,1,0,E,E,E,0,0,E,E,1,E,1,E,1,E,E,1,0,0,E,1,82 %,
HS/2016/16137,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,E,1,82 %,
HS/2016/16138,0,0,1,0,0,0,1,E,E,E,E,E,E,E,E,1,E,1,E,1,E,E,1,E,E,E,1,82 %,
HS/2016/16139,0,1,1,1,1,1,0,M,M,1,1,1,1,1,M,1,1,M,1,1,1,1,1,1,1,0,1,85 %,
Total,8,10,12,9,14,8,8,7,13,11,13,13,13,14,13,12,12,13,11,16,11,12,12,10,9,12,10,
