Current Attendence Sheet Data of ENG11513  |  All Type


-,2019-05-21-17:00:00-Lect-1H-ng,2019-05-22-09:00:00-Lect-1H-ng,2019-05-24-09:00:00-Lect-3H-ng,2019-05-28-17:00:00-Lect-1H-ng,2019-05-29-09:00:00-Lect-1H-ng,2019-06-03-13:00:00-Lect-2H-ng,2019-06-04-09:00:00-Lect-2H-ng,2019-06-10-16:00:00-Lect-2H-ng,2019-06-11-16:00:00-Lect-2H-ng,2019-06-12-09:00:00-Lect-1H-ng,2019-06-17-13:00:00-Lect-2H-ng,2019-06-19-09:00:00-Lect-1H-ng,2019-06-24-13:00:00-Lect-2H-ng,2019-06-25-16:00:00-Lect-2H-ng,2019-07-01-13:00:00-Lect-2H-ng,%
HS/2018/16960,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,76 %,
HS/2018/17083,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,84 %,
HS/2018/17088,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,60 %,
HS/2018/17090,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,52 %,
HS/2018/17094,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,72 %,
HS/2018/17096,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,64 %,
HS/2018/17098,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,52 %,
HS/2018/17099,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,64 %,
HS/2018/17115,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,68 %,
HS/2018/17116,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,68 %,
HS/2018/17117,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,48 %,
Total,11,11,10,10,11,4,0,11,11,6,5,10,8,5,0,
