Current Attendence Sheet Data of ENG11523  |  All Type


-,2019-03-04-13:00:00-Lect-2H-ng,2019-03-05-09:00:00-Lect-3H-ng,2019-03-11-13:00:00-Lect-2H-ng,2019-03-14-09:00:00-Lect-3H-ng,2019-03-19-09:00:00-Lect-3H-ng,2019-03-21-13:00:00-Lect-2H-ng,2019-04-08-13:00:00-Lect-2H-ng,2019-05-23-16:00:00-Lect-2H-ng,2019-05-27-13:00:00-Lect-2H-ng,2019-05-30-16:00:00-Lect-2H-ng,2019-06-06-16:00:00-Lect-2H-ng,2019-06-17-13:00:00-Lect-2H-ng,2019-06-17-13:00:00-Lect-2H-ng,2019-06-20-16:00:00-Lect-2H-ng,2019-06-25-10:00:00-Lect-2H-ng,2019-06-26-13:00:00-Lect-2H-ng,2019-06-27-16:00:00-Lect-2H-ng,%
HS/2018/16960,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,43 %,
HS/2018/17083,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,84 %,
HS/2018/17088,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,49 %,
HS/2018/17090,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,32 %,
HS/2018/17094,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,49 %,
HS/2018/17096,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,43 %,
HS/2018/17098,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,22 %,
HS/2018/17099,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,41 %,
HS/2018/17115,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,38 %,
HS/2018/17116,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,27 %,
HS/2018/17117,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,32 %,
Total,1,1,1,4,3,7,5,9,10,11,8,5,5,0,8,3,0,
