Current Attendence Sheet Data of ENG12523  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-05-11:00:00-Lect-1H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-09-11:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-08-16-11:00:00-Lect-1H-ng,2019-12-09-11:00:00-Lect-1H-ng,2019-12-13-11:00:00-Lect-1H-ng,2019-12-16-11:00:00-Lect-1H-ng,2019-12-17-08:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-23-11:00:00-Lect-1H-ng,2019-12-30-11:00:00-Lect-1H-ng,2019-12-31-08:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-13-11:00:00-Lect-1H-ng,2020-01-13-14:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-14-16:00:00-Lect-1H-ng,2020-01-16-11:00:00-Lect-1H-ng,2020-01-16-14:00:00-Lect-1H-ng,2020-01-27-11:00:00-Lect-1H-ng,2020-01-28-16:00:00-Lect-1H-ng,2020-01-30-10:00:00-Lect-2H-ng,2020-02-03-11:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-13-10:00:00-Lect-2H-ng,2020-02-17-11:00:00-Lect-1H-ng,2020-02-20-10:00:00-Lect-2H-ng,%
HS/2018/16960,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2018/17083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2018/17088,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,86 %,
HS/2018/17090,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,84 %,
HS/2018/17094,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2018/17096,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/17098,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,68 %,
HS/2018/17099,0,E,E,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/17115,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/17116,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,92 %,
HS/2018/17117,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,92 %,
Total,0,8,9,10,10,9,7,10,9,11,11,11,10,10,11,11,9,11,11,10,11,11,10,10,11,4,10,10,11,8,11,
