Current Attendence Sheet Data of FDN11523  |  All Type


-,2019-02-25-09:00:00-Lect-2H-ng,2019-02-25-16:00:00-Prac-2H-FEB5-A,2019-02-27-15:00:00-Prac-2H-FEB5-B,2019-02-28-14:00:00-Prac-2H-FEB5-C,2019-03-01-16:00:00-Prac-2H-MAR1-D,2019-03-06-15:00:00-Prac-2H-MAR2-B,2019-03-07-14:00:00-Prac-2H-MAR2-C,2019-03-08-16:00:00-Prac-2H-MAR2-D,2019-03-11-09:00:00-Lect-2H-ng,2019-03-11-14:00:00-Prac-2H-MAR3-A,2019-03-13-15:00:00-Prac-2H-MAR3-B,2019-03-14-14:00:00-Prac-2H-MAR3-C,2019-03-15-16:00:00-Prac-2H-MAR3-D,2019-03-18-09:00:00-Lect-2H-ng,2019-03-18-16:00:00-Prac-2H-MAR4-A,2019-03-21-14:00:00-Prac-2H-MAR4-C,2019-03-22-16:00:00-Prac-2H-MAR4-D,2019-03-25-09:00:00-Lect-2H-ng,2019-03-25-16:00:00-Prac-2H-MAR5-A,2019-03-27-15:00:00-Prac-2H-MAR5-B,2019-03-28-14:00:00-Prac-2H-MAR5-C,2019-03-29-16:00:00-Prac-2H-MAR5-D,2019-04-01-09:00:00-Lect-2H-ng,2019-04-01-16:00:00-Prac-2H-APR1-A,2019-04-03-15:00:00-Prac-2H-APR1-B,2019-04-04-14:00:00-Prac-2H-APR1-C,2019-04-05-16:00:00-Prac-2H-APR1-D,2019-04-08-09:00:00-Lect-2H-ng,2019-04-08-16:00:00-Prac-2H-APR2-A,2019-04-10-15:00:00-Prac-2H-APR2-B,2019-05-22-15:00:00-Prac-2H-MAY4-B,2019-05-23-14:00:00-Prac-2H-MAY4-C,2019-05-24-16:00:00-Prac-2H-MAY4-D,2019-05-27-09:00:00-Lect-2H-ng,2019-05-27-16:00:00-Prac-2H-MAY5-A,2019-05-29-15:00:00-Prac-2H-MAY5-B,2019-05-30-14:00:00-Prac-2H-MAY5-C,2019-05-31-16:00:00-Prac-2H-MAY5-D,2019-06-03-09:00:00-Lect-2H-ng,2019-06-03-16:00:00-Prac-2H-JUN2-A,2019-06-06-14:00:00-Prac-2H-JUN2-C,2019-06-07-16:00:00-Prac-2H-JUN2-D,2019-06-10-09:00:00-Lect-2H-ng,2019-06-10-16:00:00-Prac-2H-JUN3-A,2019-06-12-15:00:00-Prac-2H-JUN3-B,2019-06-13-14:00:00-Prac-2H-JUN3-C,2019-06-14-16:00:00-Prac-2H-JUN3-D,2019-06-17-09:00:00-Lect-2H-ng,2019-06-17-16:00:00-Prac-2H-JUN4-A,2019-06-19-15:00:00-Prac-2H-JUN4-B,2019-06-20-14:00:00-Prac-2H-JUN4-C,2019-06-21-16:00:00-Prac-2H-JUN4-D,2019-06-24-09:00:00-Lect-2H-ng,2019-06-24-16:00:00-Prac-2H-JUN5-A,2019-06-26-15:00:00-Prac-2H-JUN5-B,2019-06-27-14:00:00-Prac-2H-JUN5-C,2019-06-28-16:00:00-Prac-2H-JUN5-D,2019-07-01-16:00:00-Prac-2H-JULY1-A,%
HS/2018/16620,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,1, , , ,0,1, , , ,1,65 %,
HS/2018/16621,0, , , , , , , ,0, , , , ,0, , , ,0, , , , ,0, , , , ,1, , , , , ,1, , , , ,0, , , ,0, , , , ,0, , , , ,0, , , , , ,8 %,
HS/2018/16622,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,1, , , ,1,1, , , ,0,62 %,
HS/2018/16623,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,1,62 %,
HS/2018/16624,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,0,0, , , ,0,0, , , ,1,38 %,
HS/2018/16625,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,0,0, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , ,0,42 %,
HS/2018/16626,0, ,1, , ,0, , ,1, ,1, , ,0, , , ,0, ,0, , ,0, ,1, , ,1, ,0,1, , ,1, ,0, , ,0, , , ,0, ,0, , ,1, ,0, , ,0, ,1, , , ,35 %,
HS/2018/16627,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,1,1, , , ,1,1, , , ,1,1, , , ,1,62 %,
HS/2018/16628,0,1, , , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,1, , , ,0,1, , , ,1,1, , , ,0,58 %,
HS/2018/16629,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,0, , , ,1,54 %,
HS/2018/16630,0,0,1, , , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,0, , , ,1,1, , , ,1,54 %,
HS/2018/16632,0,0, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,0,0, , , , ,1,1, , , ,0,0, , ,0,1, , , ,1,1, , , ,1,1, , , ,0,54 %,
HS/2018/16633,0,1, ,1, , , , ,1,1, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,0, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , ,0,54 %,
HS/2018/16634,0,0,1, , , , , ,0,0, , , ,1,1, , ,0,0, , , ,1,1, , , ,1,1, , , , ,1,1, , , ,0,0, , ,0,0, , , ,1,1, , , ,1,0, , , ,1,50 %,
