Current Attendence Sheet Data of FDN12523  |  All Type


-,2019-07-29-09:00:00-Lect-2H-ng,2019-07-29-15:00:00-Prac-2H-JULY5-A,2019-07-30-16:00:00-Prac-2H-JULY5-B,2019-08-01-15:00:00-Prac-2H-JULY5-C,2019-08-02-15:00:00-Prac-2H-JULY5-D,2019-08-05-09:00:00-Lect-2H-ng,2019-08-05-15:00:00-Prac-2H-AUG2-A,2019-08-06-16:00:00-Prac-2H-AUG2-B,2019-08-08-15:00:00-Prac-2H-AUG2-C,2019-08-09-15:00:00-Prac-2H-AUG2-D,2019-08-12-09:00:00-Lect-2H-ng,2019-08-12-15:00:00-Prac-2H-AUG3-A,2019-08-13-16:00:00-Prac-2H-AUG3-B,2019-08-15-15:00:00-Prac-2H-AUG3-C,2019-08-16-15:00:00-Prac-2H-AUG3-D,2019-08-19-09:00:00-Lect-2H-ng,2019-08-19-15:00:00-Prac-2H-AUG4-A,2019-08-20-16:00:00-Prac-2H-AUG4-B,2019-08-22-15:00:00-Prac-2H-AUG4-C,2019-08-23-15:00:00-Prac-2H-AUG4-D,2019-12-09-09:00:00-Lect-2H-ng,2019-12-09-15:00:00-Prac-2H-DEC2-A,2019-12-10-16:00:00-Prac-2H-DEC2-B,2019-12-12-15:00:00-Prac-2H-DEC2-C,2019-12-13-15:00:00-Prac-3H-DEC2-D,2019-12-16-09:00:00-Lect-2H-ng,2019-12-16-15:00:00-Prac-2H-DEC3-A,2019-12-17-16:00:00-Prac-2H-DEC3-B,2019-12-19-15:00:00-Prac-2H-DEC3-C,2019-12-20-15:00:00-Prac-3H-DEC3-D,2019-12-23-09:00:00-Lect-2H-ng,2019-12-23-15:00:00-Prac-2H-DEC4-A,2019-12-24-16:00:00-Prac-2H-DEC4-B,2019-12-26-15:00:00-Prac-2H-DEC4-C,2019-12-30-09:00:00-Lect-2H-ng,2019-12-30-15:00:00-Assi-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-15:00:00-Prac-2H-JAN2-A,2020-01-07-16:00:00-Prac-2H-JAN2-B,2020-01-09-15:00:00-Prac-2H-JAN2-C,2020-01-10-09:00:00-Prac-2H-JAN2-D,2020-01-13-09:00:00-Lect-2H-ng,2020-01-13-15:00:00-Prac-2H-JAN3-A,2020-01-14-16:00:00-Prac-2H-JAN3-B,2020-01-16-15:00:00-Prac-2H-JAN3-C,2020-01-17-09:00:00-Prac-2H-JAN3-D,2020-01-20-09:00:00-Lect-2H-ng,2020-01-20-15:00:00-Prac-2H-JAN4-A,2020-01-21-16:00:00-Prac-2H-JAN4-B,2020-01-23-15:00:00-Prac-2H-JAN4-C,2020-01-24-09:00:00-Prac-2H-JAN4-D,2020-01-27-09:00:00-Lect-2H-ng,2020-01-27-15:00:00-Assi-2H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-03-15:00:00-Prac-2H-FEB1-A,2020-02-04-16:00:00-Prac-2H-FEB1-B,2020-02-06-15:00:00-Prac-2H-FEB1-C,2020-02-07-09:00:00-Prac-2H-FEB1-D,2020-02-10-09:00:00-Lect-2H-ng,2020-02-10-15:00:00-Prac-2H-FEB2-A,2020-02-11-16:00:00-Prac-2H-FEB2-B,2020-02-13-15:00:00-Prac-2H-FEB2-C,2020-02-14-09:00:00-Prac-2H-FEB2-D,2020-02-17-09:00:00-Lect-2H-ng,2020-02-17-15:00:00-Prac-2H-FEB3-A,2020-02-18-16:00:00-Prac-2H-FEB3-B,2020-02-20-15:00:00-Prac-2H-FEB3-C,2020-02-21-09:00:00-Prac-2H-FEB3-D,%
HS/2017/16154,0, , , ,0,0, , , ,0,1, , , ,0,0, , , ,0,0, , , ,1,1, , , ,1,1, , , ,1,1,1, , , ,0,1, , , ,1,0, , , ,1,1,1,1, , , ,0,1, , , ,0,1, , , ,1,60 %,
HS/2017/16446,1, , ,0, ,1, , ,0, ,1, , ,1, ,0, , ,0, ,0, , ,1, ,1, , ,0, ,1, , ,1,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,1,1,1, , ,0, ,1, , ,0, ,1, , ,0, ,60 %,
HS/2018/16620,1,1, , , ,0,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,0,1,1,1, , , ,1,1, , , ,1,1, , , ,93 %,
HS/2018/16621,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,0,0, , , ,1,0, , , ,1,0, , ,0,0,1,0, , , ,1,0, , , ,1,0, , , ,0,0,1,0, , , ,1,0, , , ,1,0, , , ,43 %,
HS/2018/16622,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,1, , , ,1,1, , ,0,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,87 %,
HS/2018/16623,1,1, , , ,0,0, , , ,1,1, , , ,1,1, , , ,0,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,87 %,
HS/2018/16624,1,1, , , ,M,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,1,1,M,0, , , ,M,0, , , ,1,1, , , ,87 %,
HS/2018/16625,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,M,1,1,1, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16626,M, ,1, , ,M, ,1, , ,1, ,1, , ,1, ,1, , ,0, ,0, , ,1, ,1, , ,1, ,1, ,M,1,M, ,1, , ,1, ,1, , ,M, ,1, , ,1,1,1, ,1, , ,1, ,1, , ,0, ,0, , ,87 %,
HS/2018/16627,M,1, , , ,M,1, , , ,1,1, , , ,1,1, , , ,M,0, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,0,0, , , ,1,1, , , ,1,1, , , ,90 %,
HS/2018/16628,0,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,0,0, , , ,1,1, , , ,1,1, , ,1,1,1,0, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,0, , , ,1,0, , , ,73 %,
HS/2018/16629,1,0, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,1,1,1,1, , , ,1,1, , , ,1,0, , , ,90 %,
HS/2018/16630,1,0, , , ,0,1, , , ,1,1, , , ,0,1,1, , ,1,1, , , ,1,1, , , ,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1,1, , ,1,1,1,1, , , ,1,1, , , ,1,1,1, , ,100 %,
HS/2018/16632,1,0, , , ,1,1, , , ,1,1, , , ,1,0, , , ,1,0, , , ,1,1, , , ,1,0, , ,1,1,1,1, , , ,1,1, , , ,1,1, , , ,0,1,1,1, , , ,1,1, , , ,1,1, , , ,83 %,
