Current Attendence Sheet Data of HIS11513  |  All Type


-,2019-03-08-13:00:00-Lect-2H-ng,2019-03-19-17:00:00-Lect-1H-ng,2019-03-29-13:00:00-Lect-2H-ng,2019-04-02-17:00:00-Lect-1H-ng,2019-04-09-17:00:00-Lect-1H-ng,2019-05-21-17:00:00-Lect-1H-ng,2019-05-24-13:00:00-Lect-2H-ng,2019-05-28-17:00:00-Lect-1H-ng,2019-05-31-13:00:00-Lect-2H-ng,2019-06-04-17:00:00-Lect-1H-ng,2019-06-07-13:00:00-Assi-2H-ng,%
HS/2018/16622,0,1,1,0,1,1,0,0,1,0,0,44 %,
HS/2018/16624,1,0,1,1,0,1,1,0,1,0,0,63 %,
HS/2018/16625,0,1,1,1,0,1,1,0,0,0,0,44 %,
HS/2018/16627,1,0,1,1,1,1,1,0,0,0,0,56 %,
HS/2018/16628,0,0,0,0,0,1,0,0,0,0,0,6 %,
HS/2018/16633,0,1,1,0,0,0,1,0,0,0,0,31 %,
HS/2018/16634,0,0,1,0,0,0,0,0,1,0,0,25 %,
HS/2018/16635,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16636,1,0,1,0,0,1,1,0,1,0,0,56 %,
HS/2018/16638,0,0,0,1,1,1,0,0,1,0,0,31 %,
HS/2018/16639,0,1,0,0,0,0,0,0,1,0,0,19 %,
HS/2018/16640,1,0,1,0,1,0,0,0,1,0,0,44 %,
HS/2018/16641,0,1,1,0,0,1,1,0,0,0,0,38 %,
HS/2018/16642,1,1,0,0,0,1,1,0,0,0,0,38 %,
HS/2018/16646,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16647,0,0,1,1,1,1,1,0,0,0,0,44 %,
HS/2018/16651,0,0,0,1,0,1,1,0,1,0,0,38 %,
HS/2018/16656,0,1,1,0,1,0,1,0,1,0,0,50 %,
HS/2018/16657,0,1,1,0,1,1,1,0,0,0,0,44 %,
HS/2018/16658,0,1,1,0,0,0,0,0,1,0,0,31 %,
HS/2018/16660,0,0,1,1,1,1,0,0,1,0,0,44 %,
HS/2018/16662,1,0,1,0,0,1,1,0,1,0,0,56 %,
HS/2018/16663,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16667,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16671,0,1,1,0,1,0,1,0,1,0,0,50 %,
HS/2018/16674,1,1,1,1,1,0,0,0,0,0,0,44 %,
HS/2018/16676,0,1,0,0,1,0,1,0,1,0,0,38 %,
HS/2018/16678,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16679,1,0,0,1,0,1,1,0,1,0,0,50 %,
HS/2018/16680,0,0,1,0,0,0,0,0,0,0,0,13 %,
HS/2018/16682,1,0,0,1,0,1,1,0,0,0,0,38 %,
HS/2018/16683,0,0,1,1,1,0,1,0,0,0,0,38 %,
HS/2018/16687,1,1,1,0,1,1,0,0,0,0,0,44 %,
HS/2018/16691,0,0,1,1,1,1,1,0,0,0,0,44 %,
HS/2018/16695,0,0,1,0,0,1,1,0,1,0,0,44 %,
HS/2018/16697,0,0,1,1,0,1,0,0,1,0,0,38 %,
HS/2018/16702,0,1,1,0,1,1,1,0,1,0,0,56 %,
HS/2018/16703,0,1,1,1,1,1,1,0,1,0,0,63 %,
HS/2018/16704,0,0,0,0,0,1,1,0,0,0,0,19 %,
HS/2018/16705,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16711,0,1,1,1,0,1,1,0,1,0,0,56 %,
HS/2018/16712,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16713,0,0,1,0,0,1,1,0,0,0,0,31 %,
HS/2018/16715,0,1,1,0,1,1,1,0,0,0,0,44 %,
HS/2018/16716,1,0,1,1,1,0,0,0,1,0,0,50 %,
HS/2018/16717,0,0,1,1,0,0,1,0,0,0,0,31 %,
HS/2018/16718,0,0,0,1,0,0,1,0,1,0,0,31 %,
HS/2018/16719,1,0,1,1,1,0,0,0,1,0,0,50 %,
HS/2018/16720,1,0,0,1,0,0,1,0,0,0,0,31 %,
HS/2018/16721,1,1,0,1,0,1,0,0,0,0,0,31 %,
HS/2018/16722,1,0,0,1,1,1,1,0,1,0,0,56 %,
HS/2018/16725,1,0,0,1,1,1,1,0,1,0,0,56 %,
HS/2018/16730,0,0,1,0,0,0,1,0,1,0,0,38 %,
HS/2018/16731,0,1,1,0,1,0,1,0,1,0,0,50 %,
HS/2018/16733,0,0,1,1,0,1,0,0,1,0,0,38 %,
HS/2018/16734,0,0,1,1,1,0,1,0,1,0,0,50 %,
HS/2018/16735,0,0,1,0,1,0,0,0,0,0,0,19 %,
HS/2018/16737,0,1,1,0,0,0,1,0,1,0,0,44 %,
HS/2018/16738,0,0,0,1,0,1,1,0,1,0,0,38 %,
HS/2018/16739,0,0,1,1,1,1,1,0,1,0,0,56 %,
HS/2018/16740,0,0,1,1,0,1,1,0,1,0,0,50 %,
HS/2018/16741,0,0,1,1,0,0,1,0,0,0,0,31 %,
HS/2018/16742,0,0,0,0,0,1,0,0,0,0,0,6 %,
HS/2018/16743,0,0,1,1,1,0,0,0,0,0,0,25 %,
HS/2018/16744,0,0,1,1,0,0,0,0,1,0,0,31 %,
HS/2018/16745,0,0,1,0,0,1,1,0,0,0,0,31 %,
