Current Attendence Sheet Data of HIS21513  |  All Type


-,2019-06-07-16:00:00-Lect-2H-ng,%
HS/2015/15617,0,0 %,
HS/2017/16151,0,0 %,
HS/2017/16152,0,0 %,
HS/2017/16153,0,0 %,
HS/2017/16155,0,0 %,
HS/2017/16156,0,0 %,
HS/2017/16161,0,0 %,
HS/2017/16164,0,0 %,
HS/2017/16171,0,0 %,
HS/2017/16172,0,0 %,
HS/2017/16173,0,0 %,
HS/2017/16174,0,0 %,
HS/2017/16178,0,0 %,
HS/2017/16183,0,0 %,
HS/2017/16187,0,0 %,
HS/2017/16193,0,0 %,
HS/2017/16194,0,0 %,
HS/2017/16197,0,0 %,
HS/2017/16198,0,0 %,
HS/2017/16208,0,0 %,
HS/2017/16211,0,0 %,
HS/2017/16219,0,0 %,
HS/2017/16222,0,0 %,
HS/2017/16228,0,0 %,
HS/2017/16229,0,0 %,
HS/2017/16230,0,0 %,
HS/2017/16233,0,0 %,
HS/2017/16243,0,0 %,
HS/2017/16250,0,0 %,
HS/2017/16253,0,0 %,
HS/2017/16254,0,0 %,
HS/2017/16261,0,0 %,
HS/2017/16267,0,0 %,
HS/2017/16271,0,0 %,
HS/2017/16273,0,0 %,
HS/2017/16276,0,0 %,
HS/2017/16280,0,0 %,
HS/2017/16281,0,0 %,
HS/2017/16290,0,0 %,
HS/2017/16300,0,0 %,
HS/2017/16311,0,0 %,
HS/2017/16313,0,0 %,
HS/2017/16321,0,0 %,
HS/2017/16322,0,0 %,
HS/2017/16323,0,0 %,
HS/2017/16330,0,0 %,
HS/2017/16334,0,0 %,
HS/2017/16338,0,0 %,
HS/2017/16340,0,0 %,
HS/2017/16341,0,0 %,
HS/2017/16347,0,0 %,
HS/2017/16354,0,0 %,
HS/2017/16359,0,0 %,
HS/2017/16360,0,0 %,
HS/2017/16368,0,0 %,
HS/2017/16373,0,0 %,
HS/2017/16377,0,0 %,
HS/2017/16378,0,0 %,
HS/2017/16381,0,0 %,
HS/2017/16390,0,0 %,
HS/2017/16393,0,0 %,
HS/2017/16394,0,0 %,
HS/2017/16395,0,0 %,
HS/2017/16400,0,0 %,
HS/2017/16403,0,0 %,
HS/2017/16409,0,0 %,
HS/2017/16411,0,0 %,
HS/2017/16412,0,0 %,
HS/2017/16413,0,0 %,
HS/2017/16416,0,0 %,
HS/2017/16427,0,0 %,
HS/2017/16432,0,0 %,
HS/2017/16438,0,0 %,
HS/2017/16445,0,0 %,
HS/2017/16447,0,0 %,
HS/2017/16448,0,0 %,
HS/2017/16450,0,0 %,
HS/2017/16453,0,0 %,
HS/2017/16464,0,0 %,
HS/2017/16473,0,0 %,
HS/2017/16482,0,0 %,
HS/2017/16483,0,0 %,
HS/2017/16484,0,0 %,
HS/2017/16491,0,0 %,
HS/2017/16503,0,0 %,
HS/2017/16506,0,0 %,
HS/2017/16508,0,0 %,
HS/2017/16513,0,0 %,
HS/2017/16519,0,0 %,
HS/2017/16520,0,0 %,
HS/2017/16524,0,0 %,
HS/2017/16527,0,0 %,
HS/2017/16529,0,0 %,
HS/2017/16530,0,0 %,
HS/2017/16547,0,0 %,
HS/2017/16550,0,0 %,
HS/2017/16551,0,0 %,
HS/2017/16552,0,0 %,
HS/2017/16554,0,0 %,
HS/2017/16555,0,0 %,
HS/2017/16557,0,0 %,
HS/2017/16558,0,0 %,
HS/2017/16559,0,0 %,
HS/2017/16560,0,0 %,
HS/2017/16561,0,0 %,
HS/2017/16563,0,0 %,
HS/2017/16564,0,0 %,
HS/2017/16568,0,0 %,
HS/2017/16578,0,0 %,
HS/2017/16582,0,0 %,
HS/2017/16586,0,0 %,
HS/2017/16592,0,0 %,
HS/2017/16593,0,0 %,
HS/2017/16594,0,0 %,
HS/2017/16596,0,0 %,
HS/2017/16599,0,0 %,
HS/2017/16606,0,0 %,
HS/2017/16608,0,0 %,
HS/2017/16609,0,0 %,
HS/2017/16610,0,0 %,
Total,0,
