Current Attendence Sheet Data of HIS22513  |  All Type


-,2019-08-02-16:00:00-Lect-2H-ng,2019-08-09-12:00:00-Lect-1H-ng,2019-08-09-16:00:00-Lect-2H-ng,2019-08-21-16:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2020-01-01-15:00:00-Lect-2H-ng,2020-01-02-12:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-09-12:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-22-15:00:00-Lect-2H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-06-12:00:00-Lect-1H-ng,2020-02-13-12:00:00-Lect-1H-ng,%
HS/2015/15617,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16151,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16152,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,80 %,
HS/2017/16153,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16155,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2017/16156,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,88 %,
HS/2017/16161,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16164,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,80 %,
HS/2017/16171,M,0,0,1,0,1,1,1,1,1,M,1,1,1,1,1,1,84 %,
HS/2017/16172,E,M,M,M,M,M,1,E,1,E,1,1,1,E,1,E,E,100 %,
HS/2017/16173,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,76 %,
HS/2017/16174,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
HS/2017/16183,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,92 %,
HS/2017/16187,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16193,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,0,0,92 %,
HS/2017/16194,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,20 %,
HS/2017/16197,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2017/16198,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,64 %,
HS/2017/16208,E,E,1,1,E,1,1,1,1,1,E,1,1,E,E,E,1,100 %,
HS/2017/16211,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16219,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2017/16222,1,M,M,M,M,M,M,M,M,1,M,M,0,M,1,0,M,88 %,
HS/2017/16228,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16229,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,E,1,80 %,
HS/2017/16230,M,M,M,1,0,1,1,0,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16243,M,M,M,M,M,M,M,1,0,0,1,1,1,1,1,1,1,88 %,
HS/2017/16250,M,M,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2017/16253,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,64 %,
HS/2017/16254,0,1,1,M,M,1,1,0,1,0,1,1,1,1,1,1,0,80 %,
HS/2017/16261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16263,M,M,M,M,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16267,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16273,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,84 %,
HS/2017/16276,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16280,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2017/16281,0,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16290,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16300,M,1,1,1,E,M,E,0,E,M,E,0,E,M,E,0,E,84 %,
HS/2017/16311,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,48 %,
HS/2017/16313,E,0,E,0,E,E,E,1,0,E,1,1,1,0,E,E,1,80 %,
HS/2017/16321,M,M,M,M,M,M,M,1,M,M,1,1,1,1,1,1,1,100 %,
HS/2017/16322,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,88 %,
HS/2017/16323,1,1,1,1,0,1,1,1,1,1,1,1,1,E,E,1,1,96 %,
HS/2017/16330,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,64 %,
HS/2017/16334,1,1,1,0,0,1,M,1,1,1,1,1,M,1,1,1,1,92 %,
HS/2017/16338,M,M,M,1,0,1,1,0,1,1,0,1,1,1,1,1,1,88 %,
HS/2017/16340,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,84 %,
HS/2017/16341,M,M,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16347,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16354,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16359,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,76 %,
HS/2017/16360,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,48 %,
