Current Attendence Sheet Data of HIS22623  |  All Type


-,2019-08-08-08:00:00-Lect-2H-ng,2019-08-15-09:00:00-Lect-1H-ng,2019-08-19-13:00:00-Lect-2H-ng,2019-08-22-09:00:00-Lect-1H-ng,2019-12-09-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-16-13:00:00-Lect-2H-ng,2019-12-19-09:00:00-Lect-1H-ng,2019-12-30-13:00:00-Lect-2H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-16-15:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-2H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-01-27-15:00:00-Lect-2H-ng,2020-01-30-09:00:00-Lect-1H-ng,2020-01-30-15:00:00-Lect-2H-ng,2020-01-31-13:00:00-Lect-2H-ng,2020-01-31-15:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-17-13:00:00-Lect-2H-ng,%
HS/2017/16148,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,93 %,
HS/2017/16223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,91 %,
HS/2017/16224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16248,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16329,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16349,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 %,
HS/2017/16355,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,93 %,
HS/2017/16365,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16370,0,E,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16382,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16385,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16433,0,M,1,1,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16539,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16548,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16565,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,E,1,91 %,
HS/2017/16566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16569,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16583,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
Total,21,22,20,23,18,21,21,19,22,21,23,23,23,22,21,23,23,23,22,23,22,22,23,23,22,23,
