Current Attendence Sheet Data of HIS22633  |  All Type


-,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-11:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-11:00:00-Lect-1H-ng,2020-01-07-10:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-14-16:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-02-06-11:00:00-Lect-1H-ng,2020-02-07-14:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2017/16148,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16186,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16196,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,91 %,
HS/2017/16200,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16203,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16223,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2017/16224,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,88 %,
HS/2017/16231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16309,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,97 %,
HS/2017/16329,1,1,E,E,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16363,E,E,E,E,1,1,1,1,E,0,1,1,1,0,1,0,1,1,1,1,1,0,85 %,
HS/2017/16365,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,97 %,
HS/2017/16370,1,1,E,E,E,E,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,97 %,
HS/2017/16382,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,91 %,
HS/2017/16385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,100 %,
HS/2017/16414,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,91 %,
HS/2017/16428,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16433,1,1,M,M,M,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,94 %,
HS/2017/16444,1,1,1,M,M,M,1,1,M,1,1,1,1,1,1,1,M,M,1,1,1,1,100 %,
HS/2017/16451,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16466,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16488,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,79 %,
HS/2017/16539,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,97 %,
HS/2017/16548,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,E,1,94 %,
HS/2017/16566,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,97 %,
HS/2017/16569,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,88 %,
HS/2017/16583,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
Total,27,28,26,14,30,28,31,28,30,30,30,31,31,27,31,28,28,30,31,31,30,29,
