Current Attendence Sheet Data of HIS22643  |  All Type


-,2019-08-02-16:00:00-Lect-2H-ng,2019-08-09-12:00:00-Lect-1H-ng,2019-08-09-16:00:00-Lect-2H-ng,2019-08-21-16:00:00-Lect-1H-ng,2019-12-18-15:00:00-Lect-2H-ng,2020-01-01-15:00:00-Lect-2H-ng,2020-01-02-12:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-2H-ng,2020-01-09-12:00:00-Lect-1H-ng,2020-01-16-12:00:00-Lect-1H-ng,2020-01-22-15:00:00-Lect-2H-ng,2020-01-29-15:00:00-Lect-2H-ng,2020-01-30-12:00:00-Lect-1H-ng,2020-02-05-15:00:00-Lect-2H-ng,2020-02-06-12:00:00-Lect-1H-ng,2020-02-13-12:00:00-Lect-1H-ng,%
HS/2017/16148,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,67 %,
HS/2017/16158,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16199,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,63 %,
HS/2017/16231,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16248,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,79 %,
HS/2017/16293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16370,M,1,1,M,0,1,1,1,0,1,1,1,1,0,1,1,79 %,
HS/2017/16374,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16386,0,1,1,M,M,1,1,1,0,1,1,1,1,M,1,1,88 %,
HS/2017/16428,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,79 %,
HS/2017/16433,0,1,1,M,M,1,1,1,0,1,1,1,1,0,1,1,79 %,
HS/2017/16434,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,71 %,
HS/2017/16451,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2017/16468,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16539,0,1,1,1,1,1,0,1,1,1,E,1,1,1,1,1,88 %,
HS/2017/16575,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,63 %,
Total,4,17,15,14,7,16,15,16,8,15,16,14,16,11,14,16,
