Current Attendence Sheet Data of HIS22653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-2H-ng,2019-08-15-16:00:00-Lect-2H-ng,2019-08-20-09:00:00-Lect-1H-ng,2019-08-22-16:00:00-Lect-2H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-16:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-19-16:00:00-Lect-2H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-16:00:00-Lect-2H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-09-16:00:00-Lect-2H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-16-16:00:00-Lect-2H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-23-16:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-16:00:00-Lect-2H-ng,2020-02-06-16:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-16:00:00-Lect-2H-ng,2020-02-18-09:00:00-Lect-1H-ng,%
HS/2017/16145,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16146,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16149,E,1,1,1,1,E,E,1,1,E,1,E,E,1,E,1,E,1,1,1,E,1,1,1,1,100 %,
HS/2017/16150,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,92 %,
HS/2017/16159,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16165,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16166,M,1,1,1,1,M,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16167,M,M,1,1,1,M,1,1,M,M,M,M,1,0,1,1,M,0,1,M,M,1,0,0,0,84 %,
HS/2017/16168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16170,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16176,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16180,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,84 %,
HS/2017/16181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,95 %,
HS/2017/16190,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16192,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,84 %,
HS/2017/16201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16202,1,E,1,1,1,1,1,1,1,1,1,1,E,1,1,1,E,1,1,1,E,1,1,1,1,100 %,
HS/2017/16204,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,84 %,
HS/2017/16207,E,E,1,E,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16210,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,21 %,
HS/2017/16212,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16213,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16215,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,89 %,
HS/2017/16216,0,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,84 %,
HS/2017/16217,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2017/16218,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,M,M,1,0,1,1,84 %,
HS/2017/16223,E,E,1,E,1,E,E,1,1,1,1,E,1,1,1,1,1,1,1,1,1,0,1,E,1,95 %,
HS/2017/16224,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,92 %,
HS/2017/16227,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,84 %,
HS/2017/16234,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16235,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16238,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,87 %,
HS/2017/16239,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,74 %,
HS/2017/16247,E,E,1,E,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16257,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
