Current Attendence Sheet Data of HIS32513  |  All Type


-,2019-07-31-14:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-2H-ng,2019-08-08-12:00:00-Lect-1H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-21-08:00:00-Lect-1H-ng,2019-08-21-15:00:00-Lect-1H-ng,2019-12-13-08:00:00-Lect-1H-ng,2019-12-18-14:00:00-Lect-2H-ng,2019-12-20-08:00:00-Lect-1H-ng,2019-12-27-08:00:00-Lect-1H-ng,2020-01-01-14:00:00-Lect-2H-ng,2020-01-03-08:00:00-Lect-1H-ng,2020-01-08-14:00:00-Lect-2H-ng,2020-01-17-08:00:00-Lect-1H-ng,2020-01-22-14:00:00-Lect-2H-ng,2020-01-24-08:00:00-Lect-1H-ng,2020-01-29-14:00:00-Lect-2H-ng,2020-01-31-08:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-2H-ng,2020-02-07-08:00:00-Lect-1H-ng,2020-02-12-14:00:00-Lect-2H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-19-13:00:00-Lect-3H-ng,%
HS/2015/15348,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,86 %,
HS/2016/15703,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15704,M,M,M,E,1,1,1,E,1,E,1,1,1,1,1,1,0,1,1,1,1,1,0,0,86 %,
HS/2016/15711,M,1,M,M,M,1,1,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15715,M,1,M,1,M,1,M,M,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15718,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15721,M,1,1,1,M,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,83 %,
HS/2016/15730,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15738,E,E,E,E,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,83 %,
HS/2016/15742,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15754,E,E,E,E,E,1,E,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15759,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15763,M,1,M,M,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,91 %,
HS/2016/15771,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15774,M,1,1,1,M,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,83 %,
HS/2016/15781,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,M,86 %,
HS/2016/15789,M,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,E,1,89 %,
HS/2016/15796,E,1,1,E,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15804,0,M,M,0,1,1,0,E,E,1,E,1,E,1,1,1,1,1,1,1,1,1,0,1,86 %,
HS/2016/15825,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15831,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15836,0,0,1,1,1,1,1,1,M,1,M,1,1,1,M,1,1,1,1,1,1,1,1,0,80 %,
HS/2016/15842,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15848,1,M,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,E,1,1,1,1,89 %,
HS/2016/15857,0,0,1,1,M,1,M,M,M,M,M,1,M,1,M,1,M,1,0,1,1,1,1,1,86 %,
HS/2016/15861,M,1,1,M,M,1,1,M,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15865,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15869,E,E,1,M,1,1,1,M,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,100 %,
HS/2016/15881,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15885,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15890,1,0,E,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15906,E,E,E,E,1,1,E,E,E,E,E,M,M,M,M,M,M,M,M,E,1,0,0,0,83 %,
HS/2016/15910,M,1,0,1,M,1,M,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,80 %,
HS/2016/15915,0,1,1,1,1,1,1,0,1,1,M,1,1,1,1,1,0,1,1,1,1,1,1,1,89 %,
HS/2016/15916,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
