Current Attendence Sheet Data of HIS32613  |  All Type


-,2019-08-05-09:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-2H-ng,2019-08-06-13:00:00-Lect-2H-ng,2019-08-20-08:00:00-Lect-2H-ng,2019-12-09-09:00:00-Lect-2H-ng,2019-12-10-08:00:00-Lect-2H-ng,2019-12-16-09:00:00-Lect-2H-ng,2019-12-17-08:00:00-Lect-2H-ng,2019-12-30-09:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-07-08:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-21-08:00:00-Lect-2H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-28-08:00:00-Lect-2H-ng,2020-02-03-08:00:00-Lect-3H-ng,2020-02-10-09:00:00-Lect-2H-ng,2020-02-11-08:00:00-Lect-2H-ng,%
HS/2016/15716,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15760,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15768,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,80 %,
HS/2016/15772,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15780,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15788,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15803,E,E,E,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15810,E,E,E,1,E,E,1,1,1,1,0,0,1,0,1,1,1,1,0,1,80 %,
HS/2016/15811,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15812,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,M,M,0,1,1,93 %,
HS/2016/15815,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15829,0,0,0,0,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2016/15832,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15833,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,0,1,1,93 %,
HS/2016/15849,M,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,90 %,
HS/2016/15852,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15858,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,83 %,
HS/2016/15875,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15876,M,M,M,M,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,85 %,
HS/2016/15877,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,93 %,
HS/2016/15887,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15893,E,E,E,1,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15905,M,M,M,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,95 %,
HS/2016/15938,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2016/15942,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15949,M,M,M,1,M,M,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2016/15958,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,E,E,1,1,1,90 %,
HS/2016/15960,E,E,E,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15967,1,0,0,1,E,E,1,1,1,1,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2016/15975,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15980,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15981,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15988,M,M,M,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15998,E,E,E,E,E,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,85 %,
HS/2016/16000,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,95 %,
HS/2016/16002,M,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2016/16026,M,M,M,1,M,M,1,1,1,1,1,0,0,1,1,0,1,1,1,1,85 %,
HS/2016/16027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,0,1,1,1,95 %,
HS/2016/16051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16074,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16082,0,1,1,1,M,M,M,1,1,1,1,1,1,1,E,1,1,E,1,1,95 %,
HS/2016/16090,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16091,0,1,1,1,M,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16108,E,E,E,E,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,85 %,
Total,39,42,44,44,33,38,45,49,49,49,42,47,46,46,45,46,48,44,48,49,
