Current Attendence Sheet Data of HIS32623  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-3H-ng,2019-08-21-08:00:00-Lect-1H-ng,2019-12-12-13:00:00-Lect-3H-ng,2019-12-18-08:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-01-08:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-3H-ng,2020-01-08-08:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-3H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-14-12:00:00-Lect-1H-ng,2020-01-17-14:00:00-Lect-3H-ng,2020-01-20-11:00:00-Lect-1H-ng,2020-01-22-08:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-3H-ng,2020-01-27-11:00:00-Lect-1H-ng,2020-01-29-08:00:00-Lect-1H-ng,2020-01-30-13:00:00-Lect-3H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-05-08:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-3H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-12-08:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-3H-ng,2020-02-17-11:00:00-Lect-2H-ng,2020-02-19-08:00:00-Lect-1H-ng,%
HS/2016/15716,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15760,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,96 %,
HS/2016/15768,0,0,1,0,E,1,1,1,M,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15772,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15780,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2016/15788,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,90 %,
HS/2016/15803,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15810,E,E,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,82 %,
HS/2016/15811,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15812,0,1,1,0,M,1,M,M,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,86 %,
HS/2016/15815,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2016/15829,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
