Current Attendence Sheet Data of HIS32633  |  All Type


-,2019-08-07-09:00:00-Lect-1H-ng,2019-08-08-09:00:00-Lect-2H-ng,2019-08-15-09:00:00-Lect-2H-ng,2019-12-13-09:00:00-Lect-2H-ng,2019-12-18-09:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-3H-ng,2020-01-01-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-09-10:00:00-Lect-1H-ng,2020-01-14-13:00:00-Lect-1H-ng,2020-01-21-13:00:00-Lect-1H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-2H-ng,2020-01-29-09:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-11-13:00:00-Lect-2H-ng,2020-02-11-15:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-2H-ng,%
HS/2016/15716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2016/15760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15768,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15780,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,89 %,
HS/2016/15788,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15803,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15810,E,E,0,E,1,1,E,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,80 %,
HS/2016/15811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2016/15812,1,1,1,M,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2016/15829,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15832,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15838,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15849,M,M,0,0,1,1,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,97 %,
HS/2016/15858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15875,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15876,M,M,M,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,86 %,
