Current Attendence Sheet Data of HIS32653  |  All Type


-,2019-08-01-16:00:00-Lect-2H-ng,2019-08-02-13:00:00-Lect-1H-ng,2019-08-05-15:00:00-Lect-1H-ng,2019-08-08-16:00:00-Lect-1H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-12-06-13:00:00-Lect-2H-ng,2019-12-09-15:00:00-Lect-1H-ng,2019-12-13-13:00:00-Lect-2H-ng,2019-12-16-15:00:00-Lect-1H-ng,2019-12-27-13:00:00-Lect-2H-ng,2019-12-30-15:00:00-Lect-1H-ng,2020-01-03-13:00:00-Lect-2H-ng,2020-01-06-15:00:00-Lect-1H-ng,2020-01-13-15:00:00-Lect-1H-ng,2020-01-17-13:00:00-Lect-2H-ng,2020-01-20-15:00:00-Assi-1H-ng,2020-01-24-12:00:00-Lect-2H-ng,2020-01-27-15:00:00-Lect-1H-ng,2020-01-31-12:00:00-Lect-3H-ng,2020-02-03-15:00:00-Lect-1H-ng,2020-02-07-12:00:00-Lect-3H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-14-12:00:00-Lect-3H-ng,%
HS/2016/15713,E,E,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15716,E,E,0,1,0,1,E,0,1,E,1,1,1,1,0,1,1,1,1,1,1,1,1,83 %,
HS/2016/15720,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15723,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15728,0,0,0,1,1,1,1,1,1,E,1,1,1,0,1,1,1,0,0,1,1,1,1,75 %,
HS/2016/15731,0,1,1,1,1,1,1,1,1,E,0,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15744,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15753,1,1,1,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15760,E,E,E,E,E,1,0,0,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15761,M,M,M,M,M,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15762,0,0,0,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15768,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15770,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,92 %,
HS/2016/15772,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15776,E,E,E,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15778,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15780,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,81 %,
HS/2016/15782,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,86 %,
HS/2016/15788,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15790,E,E,E,1,1,1,E,E,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15791,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/15795,E,E,E,E,E,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15798,0,0,0,1,1,1,1,1,1,E,1,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/15803,E,E,E,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15805,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15811,0,0,0,1,1,1,0,E,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
