Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16621,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,82 %,
HS/2018/16623,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16628,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,67 %,
HS/2018/16629,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16630,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2018/16632,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16638,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16639,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16640,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16642,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16643,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16644,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16646,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,82 %,
HS/2018/16648,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16651,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2018/16655,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16657,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16658,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16659,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16661,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16663,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16664,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2018/16665,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16666,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16667,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16669,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16670,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16672,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16673,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16674,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16675,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16677,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2018/16678,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16680,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2018/16681,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16683,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16684,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16686,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16689,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16690,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16691,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16692,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16693,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,85 %,
HS/2018/16694,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16695,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16698,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16700,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,85 %,
HS/2018/16701,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2018/16702,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16703,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
