Current Attendence Sheet Data of SOC21513  |  All Type


-,2019-05-27-10:00:00-Lect-2H-ng,2019-05-29-10:00:00-Lect-1H-ng,2019-06-03-10:00:00-Lect-2H-ng,2019-06-24-10:00:00-Lect-2H-ng,%
HS/2015/15617,1,0,1,1,86 %,
HS/2017/16152,1,1,1,1,100 %,
HS/2017/16162,1,1,0,0,43 %,
HS/2017/16172,1,1,0,0,43 %,
HS/2017/16173,1,1,1,0,71 %,
HS/2017/16177,1,0,0,0,29 %,
HS/2017/16178,0,0,0,0,0 %,
HS/2017/16183,0,0,1,0,29 %,
HS/2017/16185,0,0,1,0,29 %,
HS/2017/16195,1,0,0,1,57 %,
HS/2017/16197,1,0,0,0,29 %,
HS/2017/16208,1,1,1,1,100 %,
HS/2017/16214,1,1,0,1,71 %,
HS/2017/16221,0,0,0,1,29 %,
HS/2017/16226,1,0,0,0,29 %,
HS/2017/16237,1,1,0,0,43 %,
HS/2017/16250,1,1,0,0,43 %,
HS/2017/16254,1,1,1,0,71 %,
HS/2017/16256,0,1,1,1,71 %,
HS/2017/16260,1,0,1,1,86 %,
HS/2017/16270,1,0,1,0,57 %,
HS/2017/16273,1,1,0,1,71 %,
HS/2017/16277,1,0,1,1,86 %,
HS/2017/16279,0,0,0,0,0 %,
HS/2017/16280,0,0,1,1,57 %,
HS/2017/16281,1,1,0,1,71 %,
HS/2017/16283,0,0,1,0,29 %,
HS/2017/16286,1,1,0,1,71 %,
HS/2017/16287,1,0,1,0,57 %,
HS/2017/16288,1,1,1,1,100 %,
HS/2017/16292,1,1,1,0,71 %,
HS/2017/16297,1,1,1,1,100 %,
HS/2017/16300,0,0,0,0,0 %,
HS/2017/16317,0,0,1,0,29 %,
HS/2017/16324,1,0,0,0,29 %,
HS/2017/16337,1,0,1,1,86 %,
HS/2017/16338,1,1,1,0,71 %,
HS/2017/16341,1,1,1,1,100 %,
HS/2017/16346,0,1,1,0,43 %,
HS/2017/16354,1,1,1,1,100 %,
HS/2017/16357,0,0,1,0,29 %,
HS/2017/16359,0,1,0,0,14 %,
HS/2017/16360,0,0,0,0,0 %,
HS/2017/16368,0,1,0,1,43 %,
HS/2017/16371,1,0,1,0,57 %,
HS/2017/16375,0,0,0,0,0 %,
HS/2017/16390,0,1,0,1,43 %,
HS/2017/16393,1,0,1,1,86 %,
HS/2017/16394,0,0,1,0,29 %,
HS/2017/16398,1,1,1,1,100 %,
HS/2017/16399,1,1,1,1,100 %,
HS/2017/16400,1,0,1,1,86 %,
HS/2017/16402,1,0,1,0,57 %,
HS/2017/16404,1,0,0,0,29 %,
HS/2017/16410,0,0,1,0,29 %,
HS/2017/16423,1,0,0,1,57 %,
HS/2017/16427,0,0,0,0,0 %,
HS/2017/16436,1,1,1,1,100 %,
HS/2017/16445,1,1,1,0,71 %,
HS/2017/16448,1,1,1,0,71 %,
HS/2017/16454,0,0,1,1,57 %,
HS/2017/16460,1,1,1,0,71 %,
HS/2017/16473,1,1,1,0,71 %,
HS/2017/16480,0,0,1,0,29 %,
HS/2017/16481,1,1,1,0,71 %,
HS/2017/16501,0,1,0,0,14 %,
HS/2017/16502,0,1,0,0,14 %,
HS/2017/16506,1,0,1,0,57 %,
HS/2017/16510,1,0,1,0,57 %,
HS/2017/16513,1,1,1,0,71 %,
HS/2017/16517,1,1,1,1,100 %,
HS/2017/16519,0,0,0,0,0 %,
HS/2017/16522,1,0,1,0,57 %,
HS/2017/16524,1,0,1,1,86 %,
HS/2017/16529,1,1,1,0,71 %,
HS/2017/16537,0,0,1,0,29 %,
HS/2017/16543,0,0,1,0,29 %,
HS/2017/16545,1,1,1,1,100 %,
HS/2017/16550,1,0,1,0,57 %,
HS/2017/16551,0,0,0,0,0 %,
HS/2017/16554,1,1,1,0,71 %,
HS/2017/16561,1,1,0,0,43 %,
HS/2017/16562,1,1,1,0,71 %,
HS/2017/16563,1,1,1,0,71 %,
HS/2017/16564,1,1,1,0,71 %,
HS/2017/16570,1,0,0,0,29 %,
HS/2017/16576,1,1,1,0,71 %,
HS/2017/16578,0,1,0,0,14 %,
HS/2017/16579,0,0,1,0,29 %,
HS/2017/16584,1,1,0,0,43 %,
HS/2017/16589,1,0,1,0,57 %,
HS/2017/16592,0,0,0,0,0 %,
HS/2017/16594,0,0,0,0,0 %,
HS/2017/16595,0,1,0,0,14 %,
HS/2017/16596,0,1,1,1,71 %,
HS/2017/16603,1,1,1,1,100 %,
HS/2017/16605,0,0,0,0,0 %,
Total,62,48,60,32,
