Current Attendence Sheet Data of SOC21523  |  All Type


-,2019-06-11-15:00:00-Lect-1H-ng,2019-06-20-08:00:00-Lect-2H-ng,%
HS/2015/15617,1,1,100 %,
HS/2017/16147,0,1,67 %,
HS/2017/16152,0,1,67 %,
HS/2017/16162,1,1,100 %,
HS/2017/16164,1,0,33 %,
HS/2017/16172,0,1,67 %,
HS/2017/16173,0,1,67 %,
HS/2017/16177,1,0,33 %,
HS/2017/16178,0,0,0 %,
HS/2017/16182,0,0,0 %,
HS/2017/16183,1,0,33 %,
HS/2017/16185,0,1,67 %,
HS/2017/16195,1,0,33 %,
HS/2017/16197,0,0,0 %,
HS/2017/16208,0,1,67 %,
HS/2017/16211,1,0,33 %,
HS/2017/16214,1,1,100 %,
HS/2017/16221,1,1,100 %,
HS/2017/16226,1,0,33 %,
HS/2017/16228,1,1,100 %,
HS/2017/16236,1,0,33 %,
HS/2017/16237,1,0,33 %,
HS/2017/16243,0,0,0 %,
HS/2017/16250,1,0,33 %,
HS/2017/16254,0,0,0 %,
HS/2017/16256,1,1,100 %,
HS/2017/16260,1,1,100 %,
HS/2017/16267,1,1,100 %,
HS/2017/16270,0,0,0 %,
HS/2017/16273,1,1,100 %,
HS/2017/16277,1,1,100 %,
HS/2017/16279,0,0,0 %,
HS/2017/16280,0,1,67 %,
HS/2017/16281,0,1,67 %,
HS/2017/16283,1,1,100 %,
HS/2017/16286,0,1,67 %,
HS/2017/16287,1,1,100 %,
HS/2017/16288,1,1,100 %,
HS/2017/16290,1,0,33 %,
HS/2017/16292,1,0,33 %,
HS/2017/16297,1,1,100 %,
HS/2017/16300,1,0,33 %,
HS/2017/16313,0,0,0 %,
HS/2017/16317,0,0,0 %,
HS/2017/16321,0,0,0 %,
HS/2017/16322,1,1,100 %,
HS/2017/16324,0,0,0 %,
HS/2017/16337,0,1,67 %,
HS/2017/16338,0,0,0 %,
HS/2017/16340,0,1,67 %,
HS/2017/16341,0,1,67 %,
HS/2017/16345,1,0,33 %,
HS/2017/16346,0,0,0 %,
HS/2017/16354,1,0,33 %,
HS/2017/16357,1,1,100 %,
HS/2017/16359,1,1,100 %,
HS/2017/16360,1,0,33 %,
HS/2017/16368,1,0,33 %,
HS/2017/16371,1,1,100 %,
HS/2017/16373,0,0,0 %,
HS/2017/16375,0,0,0 %,
HS/2017/16377,1,0,33 %,
HS/2017/16390,1,1,100 %,
HS/2017/16393,0,1,67 %,
HS/2017/16394,0,0,0 %,
HS/2017/16398,1,1,100 %,
HS/2017/16399,1,1,100 %,
HS/2017/16400,1,0,33 %,
HS/2017/16402,1,0,33 %,
HS/2017/16404,0,0,0 %,
HS/2017/16410,1,1,100 %,
HS/2017/16411,1,1,100 %,
HS/2017/16423,1,0,33 %,
HS/2017/16427,1,0,33 %,
HS/2017/16436,1,1,100 %,
HS/2017/16445,0,1,67 %,
HS/2017/16448,0,0,0 %,
HS/2017/16450,1,0,33 %,
HS/2017/16453,1,0,33 %,
HS/2017/16454,1,0,33 %,
HS/2017/16457,1,0,33 %,
HS/2017/16460,1,1,100 %,
HS/2017/16464,1,0,33 %,
HS/2017/16473,1,0,33 %,
HS/2017/16480,0,0,0 %,
HS/2017/16481,0,0,0 %,
HS/2017/16484,0,0,0 %,
HS/2017/16499,1,1,100 %,
HS/2017/16501,1,1,100 %,
HS/2017/16502,1,1,100 %,
HS/2017/16506,1,0,33 %,
HS/2017/16510,1,1,100 %,
HS/2017/16513,0,0,0 %,
HS/2017/16517,1,1,100 %,
HS/2017/16519,0,0,0 %,
HS/2017/16522,0,0,0 %,
HS/2017/16524,1,0,33 %,
HS/2017/16529,1,1,100 %,
HS/2017/16530,1,0,33 %,
HS/2017/16537,1,1,100 %,
HS/2017/16543,0,1,67 %,
HS/2017/16545,1,1,100 %,
HS/2017/16547,1,0,33 %,
HS/2017/16550,1,1,100 %,
HS/2017/16551,1,0,33 %,
HS/2017/16552,1,1,100 %,
HS/2017/16554,1,0,33 %,
HS/2017/16561,1,0,33 %,
HS/2017/16562,1,1,100 %,
HS/2017/16563,1,1,100 %,
HS/2017/16564,1,1,100 %,
HS/2017/16570,1,1,100 %,
HS/2017/16576,1,0,33 %,
HS/2017/16578,0,0,0 %,
HS/2017/16579,1,0,33 %,
HS/2017/16584,1,0,33 %,
HS/2017/16589,1,1,100 %,
HS/2017/16592,0,0,0 %,
HS/2017/16594,1,0,33 %,
HS/2017/16595,0,0,0 %,
HS/2017/16596,0,1,67 %,
HS/2017/16603,1,1,100 %,
HS/2017/16605,0,0,0 %,
Total,79,57,
