Current Attendence Sheet Data of SOC22513  |  All Type


-,2019-07-29-13:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-2H-ng,2019-08-21-13:00:00-Lect-1H-ng,2019-12-09-13:00:00-Lect-2H-ng,2019-12-16-13:00:00-Lect-2H-ng,2019-12-18-11:00:00-Lect-1H-ng,2019-12-23-13:00:00-Lect-2H-ng,2019-12-30-13:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-22-13:00:00-Lect-1H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-2H-ng,%
HS/2015/15617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16152,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16162,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16172,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,93 %,
HS/2017/16173,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16177,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,66 %,
HS/2017/16183,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16185,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,41 %,
HS/2017/16195,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16197,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16208,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,86 %,
HS/2017/16214,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16221,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16226,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,76 %,
HS/2017/16237,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16250,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16254,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16256,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16260,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16263,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,93 %,
HS/2017/16270,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,86 %,
HS/2017/16273,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16279,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,83 %,
HS/2017/16280,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,69 %,
HS/2017/16281,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16283,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,86 %,
HS/2017/16286,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16287,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16297,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16300,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,83 %,
HS/2017/16317,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,83 %,
HS/2017/16324,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16337,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16338,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16341,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16346,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,86 %,
HS/2017/16354,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16357,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,83 %,
HS/2017/16359,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,69 %,
HS/2017/16360,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,62 %,
HS/2017/16368,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16371,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16375,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16390,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16393,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,72 %,
HS/2017/16394,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,86 %,
HS/2017/16398,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16399,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16400,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16402,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16404,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16410,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16423,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16427,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,66 %,
HS/2017/16436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16445,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2017/16448,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16454,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,79 %,
HS/2017/16460,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16473,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16480,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16481,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16501,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16502,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16506,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,79 %,
