Current Attendence Sheet Data of SOC22613  |  All Type


-,2019-08-01-09:00:00-Lect-2H-ng,2019-08-06-10:00:00-Lect-1H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-08-08:00:00-Lect-3H-ng,2019-08-23-08:00:00-Lect-4H-ng,2019-12-12-08:00:00-Lect-3H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-09-10:00:00-Lect-2H-ng,2020-01-16-08:00:00-Lect-4H-ng,2020-01-20-13:00:00-Lect-2H-ng,2020-01-23-09:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-2H-ng,2020-02-06-08:00:00-Lect-4H-ng,%
HS/2017/16170,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16204,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16245,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,89 %,
HS/2017/16247,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16262,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,91 %,
HS/2017/16284,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16285,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16315,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,89 %,
HS/2017/16319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16376,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,94 %,
HS/2017/16383,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,94 %,
HS/2017/16408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16415,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16424,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,89 %,
HS/2017/16431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16440,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,80 %,
HS/2017/16443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16452,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,86 %,
HS/2017/16476,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16532,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,80 %,
HS/2017/16556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16577,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,97 %,
HS/2017/16590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,30,30,30,29,30,28,29,27,29,30,28,20,27,28,30,
