Current Attendence Sheet Data of SOC22633  |  All Type


-,2019-12-10-09:00:00-Lect-4H-ng,2019-12-16-09:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-2H-ng,2019-12-30-09:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-2H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-14-09:00:00-Lect-2H-ng,2020-01-16-11:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-22-08:00:00-Lect-2H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-2H-ng,2020-01-29-09:00:00-Lect-1H-ng,2020-02-05-12:00:00-Lect-1H-ng,%
HS/2017/16170,1,1,0,1,1,1,1,0,1,1,1,1,1,1,88 %,
HS/2017/16178,0,1,1,1,1,1,1,0,0,1,1,0,0,1,65 %,
HS/2017/16204,1,1,0,1,1,1,0,1,1,1,1,1,1,1,85 %,
HS/2017/16245,1,1,1,1,1,1,1,0,1,1,1,1,1,1,96 %,
HS/2017/16247,1,1,1,1,1,1,0,1,1,1,1,1,1,1,92 %,
HS/2017/16262,1,1,1,1,1,1,0,1,0,1,1,1,1,1,88 %,
HS/2017/16284,1,1,1,0,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2017/16285,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96 %,
HS/2017/16289,1,1,1,1,1,1,1,0,0,1,1,1,1,1,92 %,
HS/2017/16312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16315,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16319,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96 %,
HS/2017/16364,1,1,1,1,1,1,1,0,0,1,0,1,1,1,85 %,
HS/2017/16376,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16408,1,1,1,1,1,1,0,1,0,1,1,1,0,1,85 %,
HS/2017/16415,1,1,1,1,1,1,0,1,1,1,1,1,1,1,92 %,
HS/2017/16422,1,1,1,1,1,1,1,1,0,1,0,1,1,1,88 %,
HS/2017/16424,1,1,1,1,1,1,1,0,1,1,0,1,0,0,81 %,
HS/2017/16431,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16440,1,1,1,1,1,1,1,1,1,1,0,1,1,1,92 %,
HS/2017/16443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16452,1,1,0,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16486,1,1,0,1,1,1,1,1,0,1,1,0,1,1,81 %,
HS/2017/16509,1,1,0,1,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2017/16532,1,1,0,0,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16556,1,1,1,1,1,0,1,1,0,1,1,0,1,1,81 %,
HS/2017/16577,0,1,1,1,1,1,1,0,1,1,1,1,1,1,81 %,
HS/2017/16590,1,1,1,1,1,1,1,1,0,1,0,1,0,0,81 %,
Total,29,31,25,26,31,30,26,24,21,30,26,28,25,29,
