Current Attendence Sheet Data of SOC22653  |  All Type


-,2019-12-16-13:00:00-Lect-2H-ng,2019-12-17-15:00:00-Lect-2H-ng,2019-12-18-10:00:00-Lect-1H-ng,2019-12-23-13:00:00-Lect-2H-ng,2019-12-24-15:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-2H-ng,2020-01-03-10:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-07-16:00:00-Lect-2H-ng,2020-01-08-10:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-21-15:00:00-Lect-2H-ng,2020-01-28-14:00:00-Lect-2H-ng,2020-01-29-10:00:00-Lect-1H-ng,2020-01-29-15:00:00-Lect-2H-ng,%
HS/2017/16170,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,86 %,
HS/2017/16175,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16188,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16204,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,90 %,
HS/2017/16245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16247,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16252,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,83 %,
HS/2017/16262,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16284,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,93 %,
HS/2017/16285,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16289,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16312,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,93 %,
HS/2017/16315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16319,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,86 %,
HS/2017/16325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16327,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,86 %,
HS/2017/16331,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16332,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,90 %,
HS/2017/16333,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,86 %,
HS/2017/16335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93 %,
HS/2017/16364,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,90 %,
HS/2017/16376,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16383,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,93 %,
HS/2017/16384,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16408,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,97 %,
HS/2017/16415,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16424,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,83 %,
HS/2017/16426,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2017/16431,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,86 %,
HS/2017/16440,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16449,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,86 %,
HS/2017/16452,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,86 %,
HS/2017/16476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16486,1,1,1,1,1,M,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2017/16509,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16532,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,86 %,
HS/2017/16549,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16571,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,83 %,
HS/2017/16577,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16587,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16590,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16607,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,86 %,
Total,47,45,47,43,43,44,44,46,44,43,39,40,48,47,37,41,
