Current Attendence Sheet Data of SOC32513  |  All Type


-,2019-12-09-13:00:00-Lect-1H-ng,2019-12-10-15:00:00-Lect-2H-ng,2019-12-16-13:00:00-Lect-1H-ng,2019-12-17-15:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2019-12-24-15:00:00-Lect-2H-ng,2019-12-30-13:00:00-Lect-1H-ng,2019-12-31-15:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-14-15:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-21-15:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-1H-ng,2020-01-28-15:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-11-15:00:00-Lect-2H-ng,%
HS/2015/15555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15700,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15701,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15703,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15709,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,84 %,
HS/2016/15714,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15717,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15721,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2016/15729,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15732,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15738,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,88 %,
HS/2016/15742,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2016/15745,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,84 %,
HS/2016/15746,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2016/15749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15767,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15773,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15774,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2016/15781,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,80 %,
HS/2016/15784,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15787,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15793,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15800,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15802,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2016/15807,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15821,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15825,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15839,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15841,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,96 %,
HS/2016/15846,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15855,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,88 %,
HS/2016/15857,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,92 %,
HS/2016/15859,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15861,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2016/15865,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15869,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15881,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,92 %,
HS/2016/15889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15892,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15919,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2016/15922,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,92 %,
HS/2016/15924,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,88 %,
HS/2016/15925,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2016/15926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15935,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15937,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15943,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15952,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,80 %,
HS/2016/15953,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15966,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,28 %,
HS/2016/15977,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15982,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15990,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15991,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/15992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16018,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16020,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,76 %,
HS/2016/16021,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16028,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16033,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16034,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16046,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,84 %,
HS/2016/16047,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,72 %,
HS/2016/16050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96 %,
HS/2016/16057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,96 %,
HS/2016/16067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16068,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16070,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,80 %,
HS/2016/16075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16084,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16100,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16103,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16107,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16112,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,80 %,
