Current Attendence Sheet Data of SOC32633  |  All Type


-,2019-12-30-13:00:00-Lect-3H-ng,2019-12-30-15:00:00-Lect-3H-ng,2020-01-07-15:00:00-Lect-2H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-14-15:00:00-Lect-2H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-20-15:00:00-Lect-2H-ng,2020-01-21-11:00:00-Lect-1H-ng,2020-01-27-13:00:00-Lect-1H-ng,2020-01-27-14:00:00-Lect-3H-ng,2020-01-28-11:00:00-Lect-2H-ng,2020-01-28-14:00:00-Lect-3H-ng,2020-02-03-13:00:00-Lect-1H-ng,%
HS/2016/15705,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/15712,1,0,1,1,1,1,1,0,1,1,1,1,0,80 %,
HS/2016/15724,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15734,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/15735,1,1,1,1,1,1,1,0,1,0,1,1,0,80 %,
HS/2016/15761,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15786,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15814,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/15862,1,1,1,1,1,1,1,0,1,0,1,1,1,84 %,
HS/2016/15868,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/15871,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2016/15880,1,1,1,1,1,1,1,0,1,0,1,1,1,84 %,
HS/2016/15891,1,1,1,0,0,1,1,1,1,1,1,1,0,84 %,
HS/2016/15895,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/15897,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/15904,1,1,1,1,0,1,1,1,1,1,1,1,0,88 %,
HS/2016/15909,1,1,1,1,1,1,1,0,1,1,1,1,0,92 %,
HS/2016/15923,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/15939,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15948,1,1,1,1,1,1,1,0,1,1,1,1,1,96 %,
HS/2016/15962,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15965,1,1,1,1,1,0,1,1,1,1,1,1,0,92 %,
HS/2016/15969,1,1,1,1,1,1,0,1,1,1,1,1,0,88 %,
HS/2016/15972,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15976,1,1,1,1,1,1,1,1,1,1,1,0,0,84 %,
HS/2016/15983,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15984,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/15997,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16010,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16058,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16066,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16073,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16078,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16080,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16081,1,1,1,1,1,1,1,1,1,1,1,1,0,96 %,
HS/2016/16083,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
HS/2016/16089,1,1,1,1,1,1,1,1,1,0,1,1,0,84 %,
Total,37,36,37,36,35,36,36,31,36,22,37,34,4,
