Current Attendence Sheet Data of SOC32663  |  All Type


-,2019-12-10-13:00:00-Lect-1H-ng,2019-12-23-11:00:00-Lect-1H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-07-13:00:00-Lect-2H-ng,2020-01-13-11:00:00-Lect-1H-ng,2020-01-14-13:00:00-Lect-2H-ng,2020-01-17-08:00:00-Lect-3H-ng,2020-01-21-13:00:00-Lect-2H-ng,2020-01-24-08:00:00-Lect-3H-ng,2020-01-28-13:00:00-Lect-2H-ng,2020-01-28-13:00:00-Lect-3H-ng,2020-02-03-11:00:00-Lect-1H-ng,%
HS/2016/15705,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/15712,1,1,1,1,0,1,1,1,0,1,1,1,82 %,
HS/2016/15724,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15734,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15735,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15761,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15785,0,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2016/15786,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15797,1,1,1,1,1,0,1,1,1,0,1,1,82 %,
HS/2016/15814,1,1,1,1,1,1,1,0,1,1,1,0,86 %,
HS/2016/15849,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15862,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15868,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15871,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15880,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15883,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15891,1,1,1,1,0,0,1,1,1,1,1,1,86 %,
HS/2016/15895,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15897,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15899,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2016/15904,0,0,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15909,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2016/15923,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15939,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2016/15948,1,1,1,1,1,1,1,1,0,1,1,1,86 %,
HS/2016/15959,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2016/15962,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15965,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/15967,1,1,1,0,1,0,1,1,1,1,1,1,82 %,
HS/2016/15969,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
HS/2016/15972,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15976,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/15979,1,1,1,0,1,1,1,1,1,1,1,1,91 %,
HS/2016/15983,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15984,1,1,1,1,0,1,1,1,1,1,1,1,95 %,
HS/2016/15997,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16010,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16027,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2016/16051,1,1,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2016/16058,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16066,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16073,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16078,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16080,1,1,1,1,0,1,0,1,1,1,1,1,82 %,
HS/2016/16081,1,1,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/16083,0,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16089,1,1,1,1,1,1,1,1,1,0,1,1,91 %,
Total,44,41,46,45,43,40,42,44,45,37,47,45,
