Current Attendence Sheet Data of STS11513  |  All Type


-,2019-02-26-14:00:00-Lect-1H-ng,2019-03-01-10:00:00-Lect-2H-ng,2019-03-08-10:00:00-Lect-2H-ng,2019-03-12-14:00:00-Lect-1H-ng,2019-03-15-10:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-1H-ng,2019-03-22-10:00:00-Lect-2H-ng,2019-03-29-10:00:00-Lect-2H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-07-14:00:00-Lect-2H-ng,2019-05-24-10:00:00-Lect-2H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-05-28-15:00:00-Lect-1H-ng,2019-05-31-10:00:00-Lect-2H-ng,2019-06-04-10:00:00-Lect-2H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-07-10:00:00-Lect-2H-ng,%
HS/2018/16637,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,31 %,
HS/2018/16648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,86 %,
HS/2018/16652,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,52 %,
HS/2018/16698,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,69 %,
HS/2018/16710,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,45 %,
HS/2018/16723,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,55 %,
HS/2018/16730,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,76 %,
HS/2018/16748,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,52 %,
HS/2018/16755,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,55 %,
HS/2018/16764,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,55 %,
HS/2018/16811,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,55 %,
HS/2018/16828,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,52 %,
HS/2018/16830,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,69 %,
HS/2018/16850,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,66 %,
HS/2018/16869,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,55 %,
HS/2018/16878,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,41 %,
HS/2018/16879,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7 %,
HS/2018/16885,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,79 %,
HS/2018/16932,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,55 %,
HS/2018/16938,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,69 %,
HS/2018/16958,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,66 %,
HS/2018/16979,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,48 %,
HS/2018/16990,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,55 %,
HS/2018/16995,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,83 %,
HS/2018/17047,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,86 %,
HS/2018/17072,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,59 %,
HS/2018/17087,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,45 %,
Total,14,20,19,15,22,16,17,20,8,16,22,19,16,16,4,4,19,
