Current Attendence Sheet Data of STS32513  |  All Type


-,2019-08-01-10:00:00-Lect-1H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-08-09:00:00-Lect-2H-ng,2019-08-15-09:00:00-Lect-2H-ng,2019-08-16-11:00:00-Lect-3H-ng,2019-08-22-09:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-1H-ng,2019-12-09-09:00:00-Lect-1H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-17-08:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-24-08:00:00-Lect-1H-ng,2019-12-31-08:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-2H-ng,2020-01-07-08:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-2H-ng,2020-01-21-08:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-2H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-18-08:00:00-Lect-1H-ng,%
HS/2015/15555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15781,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/15783,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,60 %,
HS/2016/15793,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,91 %,
HS/2016/15807,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15828,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,77 %,
HS/2016/15846,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,74 %,
HS/2016/15859,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,77 %,
HS/2016/15922,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88 %,
HS/2016/15936,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,84 %,
HS/2016/16072,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,60 %,
Total,8,6,6,8,8,6,4,0,5,9,10,8,9,8,9,10,8,9,7,8,9,8,8,10,9,10,7,
