Current Attendence Sheet Data of SUP11523  |  All Type


-,2019-06-26-15:00:00-Lect-1H-ng,%
HS/2018/16621,0,0 %,
HS/2018/16627,1,100 %,
HS/2018/16638,0,0 %,
HS/2018/16641,0,0 %,
HS/2018/16672,1,100 %,
HS/2018/16682,0,0 %,
HS/2018/16686,1,100 %,
HS/2018/16700,1,100 %,
HS/2018/16713,1,100 %,
HS/2018/16750,0,0 %,
HS/2018/16762,0,0 %,
HS/2018/16763,1,100 %,
HS/2018/16766,1,100 %,
HS/2018/16767,0,0 %,
HS/2018/16776,1,100 %,
HS/2018/16785,1,100 %,
HS/2018/16791,1,100 %,
HS/2018/16801,1,100 %,
HS/2018/16815,0,0 %,
HS/2018/16824,1,100 %,
HS/2018/16842,1,100 %,
HS/2018/16871,0,0 %,
HS/2018/16889,1,100 %,
HS/2018/16894,1,100 %,
HS/2018/16902,0,0 %,
HS/2018/16933,1,100 %,
HS/2018/16960,1,100 %,
HS/2018/16967,0,0 %,
HS/2018/16997,1,100 %,
HS/2018/17043,1,100 %,
HS/2018/17082,1,100 %,
HS/2018/17090,0,0 %,
HS/2018/17091,1,100 %,
HS/2018/17092,0,0 %,
HS/2018/17096,0,0 %,
HS/2018/17098,0,0 %,
HS/2018/17100,1,100 %,
HS/2018/17103,1,100 %,
HS/2018/17104,0,0 %,
HS/2018/17107,1,100 %,
HS/2018/17109,1,100 %,
HS/2018/17111,0,0 %,
HS/2018/17112,0,0 %,
HS/2018/17113,0,0 %,
HS/2018/17114,1,100 %,
HS/2018/17115,0,0 %,
HS/2018/17117,0,0 %,
HS/2018/17119,1,100 %,
Total,27,
