Current Attendence Sheet Data of SUP22523  |  All Type


-,2019-07-31-14:00:00-Lect-1H-ng,2019-08-01-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-08-14:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-22-14:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-01-30-13:00:00-Lect-2H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-2H-ng,2020-02-19-14:00:00-Lect-1H-ng,2020-02-20-13:00:00-Lect-2H-ng,%
HS/2015/15617,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,82 %,
HS/2017/16147,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,77 %,
HS/2017/16151,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16152,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,82 %,
HS/2017/16153,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,87 %,
HS/2017/16155,M,M,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16156,M,M,1,1,1,1,1,0,1,1,1,M,1,1,0,1,1,1,1,1,1,1,1,1,0,85 %,
HS/2017/16161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2017/16162,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16164,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16171,M,M,M,1,1,1,1,1,1,1,0,1,0,0,M,1,0,1,1,1,1,1,1,1,1,85 %,
HS/2017/16172,M,M,1,1,1,M,M,M,1,M,1,1,M,1,M,M,M,1,M,1,1,1,1,1,1,100 %,
HS/2017/16173,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,87 %,
HS/2017/16177,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,46 %,
HS/2017/16182,M,M,M,1,M,M,M,M,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2017/16184,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,64 %,
HS/2017/16185,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,36 %,
HS/2017/16187,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,87 %,
HS/2017/16193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,87 %,
HS/2017/16194,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,28 %,
HS/2017/16195,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16197,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,85 %,
HS/2017/16198,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,51 %,
HS/2017/16208,0,0,1,1,1,1,1,0,1,1,1,1,E,1,1,0,1,0,E,E,E,1,1,1,1,82 %,
HS/2017/16211,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16214,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16219,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,56 %,
HS/2017/16220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16221,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16222,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,56 %,
HS/2017/16225,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,56 %,
HS/2017/16226,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,62 %,
HS/2017/16228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16229,E,E,1,1,0,E,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,77 %,
HS/2017/16230,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16232,0,0,1,1,0,M,M,M,M,M,1,1,1,1,M,1,M,1,1,1,1,1,1,0,0,79 %,
HS/2017/16236,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16237,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,90 %,
HS/2017/16243,1,1,M,1,1,1,1,1,0,1,M,1,M,M,1,M,0,1,0,1,1,1,1,0,0,79 %,
HS/2017/16244,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,44 %,
HS/2017/16250,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,82 %,
HS/2017/16253,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,72 %,
HS/2017/16254,M,M,1,1,1,1,M,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16256,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16260,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 %,
HS/2017/16263,E,M,M,M,M,M,M,E,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16267,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,87 %,
HS/2017/16270,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,41 %,
HS/2017/16271,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21 %,
HS/2017/16273,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16276,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16279,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,44 %,
HS/2017/16280,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16281,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2017/16283,1,1,1,1,0,M,M,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16286,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
