Current Attendence Sheet Data of SUP22623  |  All Type


-,2019-07-31-14:00:00-Lect-1H-ng,2019-08-01-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2019-12-24-10:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-17-10:00:00-Lect-2H-ng,2020-01-22-14:00:00-Lect-1H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-12-14:00:00-Lect-1H-ng,2020-02-20-13:00:00-Lect-2H-ng,%
HS/2017/16145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,92 %,
HS/2017/16146,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,70 %,
HS/2017/16148,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16149,M,M,M,1,1,M,M,1,1,1,1,M,M,M,1,1,M,1,M,M,M,1,0,95 %,
HS/2017/16150,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,76 %,
HS/2017/16158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,86 %,
HS/2017/16159,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,84 %,
HS/2017/16160,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,81 %,
HS/2017/16165,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16166,M,M,1,1,1,1,M,1,1,1,1,M,1,1,1,1,M,1,1,0,1,1,0,92 %,
HS/2017/16167,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,84 %,
HS/2017/16168,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16169,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16170,0,1,0,1,1,0,0,1,1,1,1,M,M,1,1,1,1,1,1,0,1,1,0,78 %,
HS/2017/16175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,89 %,
HS/2017/16176,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,65 %,
HS/2017/16179,M,1,M,M,M,E,1,M,E,1,1,1,M,1,1,1,1,E,1,E,1,E,0,95 %,
HS/2017/16180,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,81 %,
HS/2017/16181,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,84 %,
HS/2017/16186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,86 %,
HS/2017/16188,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,86 %,
HS/2017/16189,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2017/16190,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,81 %,
HS/2017/16192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,86 %,
HS/2017/16196,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,E,1,E,E,E,1,0,92 %,
HS/2017/16199,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,81 %,
HS/2017/16200,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,78 %,
HS/2017/16201,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2017/16202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,84 %,
HS/2017/16203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,E,E,E,E,0,86 %,
