Current Attendence Sheet Data of SUP32513  |  All Type


-,2019-07-29-16:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-16:00:00-Lect-2H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-19-16:00:00-Lect-2H-ng,2019-12-09-16:00:00-Lect-2H-ng,2019-12-16-16:00:00-Lect-2H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-16:00:00-Lect-2H-ng,2019-12-30-14:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-1H-ng,2020-01-06-16:00:00-Lect-2H-ng,2020-01-13-16:00:00-Lect-2H-ng,2020-01-20-16:00:00-Lect-2H-ng,2020-01-27-16:00:00-Lect-2H-ng,2020-01-29-13:00:00-Lect-1H-ng,2020-02-03-16:00:00-Lect-2H-ng,2020-02-05-13:00:00-Lect-1H-ng,2020-02-10-16:00:00-Lect-2H-ng,2020-02-12-13:00:00-Lect-1H-ng,%
HS/2015/15348,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2015/15513,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,55 %,
HS/2015/15555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2015/15687,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15700,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15701,M,0,M,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15703,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15704,E,M,M,1,1,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15709,M,M,M,1,0,M,1,1,1,1,0,1,1,0,1,1,1,1,1,1,85 %,
HS/2016/15711,M,M,M,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15714,M,M,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15715,0,M,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15717,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15718,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15719,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15721,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15729,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15730,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15732,M,0,M,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15737,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15738,M,0,M,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15742,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15745,M,M,M,1,0,M,M,0,1,1,0,1,1,0,1,1,1,1,1,1,82 %,
HS/2016/15746,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15749,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,73 %,
HS/2016/15754,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15755,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15759,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15763,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15767,0,1,1,1,1,M,0,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15771,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15773,0,1,1,0,1,M,0,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15774,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15781,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,85 %,
HS/2016/15783,M,1,M,M,1,M,1,1,M,M,M,1,M,M,M,1,0,1,0,0,85 %,
HS/2016/15784,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15787,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15789,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15793,M,M,M,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15796,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15800,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15802,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15804,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15807,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15808,M,0,M,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15821,M,M,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15825,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15828,0,1,1,1,1,1,M,0,M,1,0,1,M,1,1,1,1,0,1,0,82 %,
HS/2016/15831,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15836,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15839,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15841,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15842,0,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15846,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15847,0,0,1,0,1,1,0,1,M,M,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15848,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,82 %,
HS/2016/15853,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15855,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15857,0,0,0,1,M,M,1,1,M,M,M,1,M,M,1,1,M,M,M,1,85 %,
HS/2016/15859,M,M,1,1,M,E,1,1,1,0,1,1,1,1,0,1,1,1,1,1,88 %,
HS/2016/15860,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15861,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15865,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15869,M,M,0,M,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15881,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15885,M,M,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15886,M,M,M,M,M,M,1,1,M,M,1,1,M,1,M,M,M,1,0,1,94 %,
HS/2016/15889,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/15890,0,0,M,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,85 %,
