Current Attendence Sheet Data of ACL32653  |  All Type


-,2019-07-29-16:00:00-Lect-2H-ng,2019-07-31-14:00:00-Lect-1H-ng,2019-08-05-13:00:00-Lect-2H-ng,2019-08-07-14:00:00-Lect-1H-ng,2019-08-19-13:00:00-Lect-2H-ng,2019-08-21-14:00:00-Lect-1H-ng,2019-12-16-13:00:00-Lect-2H-ng,2019-12-18-14:00:00-Lect-1H-ng,2019-12-23-13:00:00-Lect-2H-ng,2019-12-30-13:00:00-Lect-2H-ng,2020-01-01-14:00:00-Lect-1H-ng,2020-01-06-13:00:00-Lect-2H-ng,2020-01-08-14:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-22-13:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-01-29-14:00:00-Lect-1H-ng,2020-02-03-13:00:00-Lect-2H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-17-13:00:00-Lect-2H-ng,%
HS/2016/15772,0,0,0,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15775,0,0,1,1,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15788,0,0,1,1,1,0,1,0,E,1,0,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15799,1,1,M,M,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15834,1,1,1,1,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15863,0,0,1,1,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15903,M,M,1,0,1,1,E,E,E,E,1,1,1,1,1,M,M,1,1,1,1,97 %,
HS/2016/15944,1,1,M,M,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15961,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,44 %,
HS/2016/15974,0,0,1,0,0,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15981,0,0,0,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15988,M,M,M,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16002,M,M,M,M,M,M,M,M,M,M,M,M,1,M,1,1,1,1,1,M,1,100 %,
HS/2016/16011,M,M,M,M,1,1,E,E,E,E,0,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16012,M,M,M,1,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16014,0,1,0,1,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2016/16038,0,0,0,1,1,1,1,0,E,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16079,1,1,M,0,1,1,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16090,E,E,E,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,88 %,
HS/2016/16142,0,0,1,1,0,1,E,E,E,E,1,1,1,1,1,1,1,1,M,1,1,85 %,
Total,10,11,15,16,17,19,19,16,18,19,18,20,20,18,19,20,20,20,20,20,20,
