Current Attendence Sheet Data of POS32663  |  All Type


-,2019-07-31-14:00:00-Lect-3H-ng,2019-08-01-14:00:00-Lect-3H-ng,2019-08-07-14:00:00-Lect-3H-ng,2019-08-21-14:00:00-Lect-3H-ng,2019-08-28-14:00:00-Lect-3H-ng,2019-12-18-14:00:00-Lect-3H-ng,2020-01-01-14:00:00-Lect-3H-ng,2020-01-08-14:00:00-Lect-3H-ng,2020-01-22-14:00:00-Lect-3H-ng,2020-01-29-14:00:00-Lect-3H-ng,2020-02-05-14:00:00-Lect-3H-ng,2020-02-12-14:00:00-Lect-3H-ng,2020-02-19-14:00:00-Lect-3H-ng,%
HS/2016/15702,0,0,1,1,1,1,M,1,1,1,1,1,1,85 %,
HS/2016/15710,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15712,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15720,0,1,1,1,0,1,1,M,1,1,1,1,1,85 %,
HS/2016/15722,E,E,E,1,1,1,E,1,E,E,1,1,1,100 %,
HS/2016/15724,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15725,0,0,1,1,1,1,M,1,1,1,1,1,1,85 %,
HS/2016/15728,E,E,1,1,1,1,1,1,1,E,1,1,1,100 %,
HS/2016/15731,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15734,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15739,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15740,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15741,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15752,0,0,1,1,1,1,1,1,M,1,1,1,1,85 %,
HS/2016/15762,0,0,1,1,1,1,1,1,1,1,1,1,M,85 %,
HS/2016/15768,0,0,1,1,1,0,M,1,1,1,1,1,1,77 %,
HS/2016/15779,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15794,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15795,E,E,E,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15798,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15806,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15809,M,M,1,1,0,0,1,1,1,1,1,1,1,85 %,
HS/2016/15813,M,1,1,E,0,1,1,0,1,1,1,1,1,85 %,
HS/2016/15814,E,E,E,1,1,0,1,1,1,0,1,1,1,85 %,
HS/2016/15818,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15822,M,0,1,1,1,0,1,1,1,1,1,1,1,85 %,
HS/2016/15823,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15829,M,M,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15833,0,0,M,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15838,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15843,0,1,1,0,1,M,M,1,1,M,1,1,1,85 %,
HS/2016/15845,0,1,1,0,1,M,M,1,1,M,1,1,1,85 %,
HS/2016/15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15851,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15856,0,0,1,1,1,1,1,1,M,1,1,1,1,85 %,
HS/2016/15864,0,0,0,0,0,0,0,0,0,0,1,0,0,8 %,
HS/2016/15871,0,0,1,0,0,0,0,0,0,0,0,0,0,8 %,
HS/2016/15874,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15877,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15884,0,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15887,1,0,1,1,1,1,0,1,M,1,1,1,1,85 %,
HS/2016/15888,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15891,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2016/15895,0,0,1,M,M,1,0,1,1,1,1,1,1,77 %,
