Current Attendence Sheet Data of ACL32513  |  All Type


-,2021-01-15-08:00:00-Prac-2H-PR1-A,%
HS/2017/16155,1,100 %,
HS/2017/16156,1,100 %,
HS/2017/16174,1,100 %,
HS/2017/16187,1,100 %,
HS/2017/16194,1,100 %,
HS/2017/16236,1,100 %,
HS/2017/16267,1,100 %,
HS/2017/16305,1,100 %,
HS/2017/16313,1,100 %,
HS/2017/16321,1,100 %,
HS/2017/16338,1,100 %,
HS/2017/16345,1,100 %,
HS/2017/16395,1,100 %,
HS/2017/16403, ,0 %,
HS/2017/16409, ,0 %,
HS/2017/16411, ,0 %,
HS/2017/16413, ,0 %,
HS/2017/16457, ,0 %,
HS/2017/16482, ,0 %,
HS/2017/16525, ,0 %,
HS/2017/16554, ,0 %,
HS/2017/16555, ,0 %,
HS/2017/16559, ,0 %,
HS/2017/16568, ,0 %,
HS/2017/16593, ,0 %,
Total,13,
